Podvedomie je podivuhodný úkaz.	Consciousness is a strange beast.	0.289655
Väčšinu času buď bdieme, alebo spíme. ~~~ Zďaleka to však nie sú jediné stavy, ktorými naša myseľ prechádza.	Most of the time you are either awake or asleep, yet these are far from the only statues our minds can enter.	-0.00337079
Na nasledujúcich 15 stranách sa vydáme na niektoré z týchto ciest do ľudskej mysle, počnúc od hypnózy až po spánkovú paralýzu.	Over the next 10 pages we explore some of these journeys of the mind, from hypnosis to sleep paralysis.	0.226744
Poniektoré z nich znejú možno strašidelne a exoticky, no pravdou je, že mnohí z nás v určitej etape svojho života zažijú minimálne jednu z týchto príhod.	Some of them may seem scary and exotic, but most of us experience at least one at some point in our lives.	0.15
Všetky odhaľujú tvárnosť ľudskej mysle a krehkosť zmyslu pre naše vlastné ja, tu a teraz.	All reveal the malleability of the human mind and the fragility of that sense of me, here, now.	0.288158
Užite si túto výpravu.	Enjoy the trip.	0.171429
Myslíte si, že bdiete, avšak časť vášho mozgu spí.	You think you're awake, yet part of your brain is sleeping.	0.251163
Môže sa vám to diať práve teraz, hovorí Laura Spinneyová.	It could be happening to you right now, says Laura Spinney.	0.839332
Začiatkom roku 2009 sa v časopise Sleep Medicine objavila záhadná správa o dvoch Talianoch, ktorí nikdy skutočne nespali.	Earlier this year, a puzzling report appeared in the journal Sleep Medicine. ~~~ It described two Italian people who never truly slept.	0.0267483
Hoci ležali a mali zavreté oči, výsledky merania mozgovej aktivity nepreukázali žiadne signály charakteristické pre spánok.	They might lie down and close their eyes, but read-outs of brain activity showed none of the normal patterns associated with sleep.	0.294495
Ich správanie bolo taktiež celkom zvláštne.	Their behaviour was pretty odd, too.	0.234375
Hoci väčšinou počas svojho odpočinku nevnímali okolie, prechádzali sa, ich telá sa chveli a srdcový tep narastal.	Though largely unaware of their surroundings during these rest periods, they would walk around, yell, tremble violently and their hearts would race.	0.208163
Zvyšok času síce boli pri vedomí a vnímali, no mali silnú tendenciu podliehať halucináciám, akoby práve snívali.	The remainder of the time they were conscious and aware but prone to powerful, dream-like hallucinations.	0.28022
Obom diagnostikovali neurodegeneratívne ochorenie zvané multisystémová atrofia.	Both had been diagnosed with a neurodegenerative disorder called multiple system atrophy.	0.27973
Podľa autorov správy Roberta Vetrugna a jeho kolegov z Bolonskej univerzity v Taliansku ochorenie poškodilo ich mozog do takej miery, že dosiahli disociatívny stav, akúsi zónu šera, kedy sa hranice medzi spánkom a bdením celkom zotierajú.	According to the report's authors, Roberto Vetrugno and colleagues from the University of Bologna, Italy, the disease had damaged the pair's brains to such an extent that they had entered status dissociatus, a kind of twilight zone in which the boundaries between sleep wakefulness completely break down.	0.300199
Táto skutočnosť vyvracia všetko, čo sme si o spánku vždy mysleli. ~~~ Marka Mahowalda, riaditeľa Regionálneho centra pre poruchy spánku v Minneapolise (Minesota) však tento fakt neprekvapil. ~~~ Práve on vyvrátil dogmu, že spánok a bdenie sú dva rôzne a odlišné stavy.	That this can happen contradicts the way we usually think about sleep, but it came as no surprise to Mark Mahowald, medical director of the Minnesota Regional Sleep Disorders Center in Minneapolis, who has long contested the dogma that sleep and wakefulness are discrete and distinct states.	-0.145562
Teraz je tu jasný dôkaz, že základné stavy bytia sa navzájom nevylučujú, tvrdí Mahowald.	There is now overwhelming evidence that the primary states of being are not mutually exclusive, he says.	0.248684
Rozmazávanie hraníc medzi spánkom a bdením je typické práve pre disociatívny stav, no je presvedčený, že sa to môže stať každému z nás.	The blurring of sleep and wakefulness is very clear in status dissociatus, but he believes it can happen to us all.	0.380114
Ak má pravdu, budeme musieť prehodnotiť naše chápanie toho, čo vlastne spánok je a k čomu slúži.	If he is right, we will have to rethink our understanding of what sleep is and what it is for.	0.280263
Možno bdenie nie je fenoménom všetkého a ničoho, ako sme si doteraz mysleli.	Maybe wakefulness is not the all-or-nothing phenomenon we thought it was either.	0.276923
Podľa všeobecne známych poznatkov sa zdravý človek nachádza v jednej z troch fáz vedomia: v bdelom stave, paradoxnom (REM) spánku alebo ortodoxnom (NREM) spánku.	Received wisdom has it that at any given time, healthy people are in one of three states of vigilance: awake, in rapid eye movement (REM) sleep or in non-REM (NREM) sleep.	0.533525
Jednotlivé fázy sú odlišné a môžu byť rozoznané na základe snímok mozgovej aktivity meranej elektroencefalogramom (EEG).	Each state is distinct and can be recognised by characteristic pattern of brain activity, as measured by an electroencephalogram (EEG).	0.445339
Bdelosť je ľahké rozoznať.	Wakefulness is easy to detect.	0.2625
Okrem faktu, že človek má otvorené oči a reaguje na podnety, jeho aktivita EEG ukazuje vlny s vysokou frekvenciou a nízkou amplitúdou.	Apart from the fact that a person's eyes are open and they are responsive, their EEG shows a pattern of high-frequency, low-amplitude waves.	0.678146
Ortodoxný (NREM) spánok je rozdelený do štyroch fáz, z ktorých každá má svoj charakteristický EEG obraz.	NREM sleep is divided into four stages, each of which has its own distinctive EEG pattern.	0.421207
