Zabudnite na tradičný marketing. ~~~ Nefunguje.	Traditional marketing doesn’t work: get over it!	-0.00357143
Zabudnite na všetko, čo ste doteraz počuli o marketingu.	Forget everything you’ve heard about marketing.	0.25814
Odložte všetky tie marketingové plány, vyškrtnite všetky reklamy v časopisoch a prestaňte si kupovať zoznamy s e-mailovými schránkami ľudí.	Put away those marketing plans, cancel that magazine ad, and stop buying mailing lists.	0.112
Tradičný marketing nefunguje.	Traditional marketing doesn’t work.	0.996429
Je drahý a neefektívny.	It’s expensive and ineffective.	0.185714
V dnešnej dobe tzv. ekonomiky pozornosti 13 ľudí filtruje reklamy v časopisoch, dokáže si dopredu pretočiť reklamy v televízii, ignoruje billboardy a odhadzuje váš starostlivo vytvorený reklamný leták, ktorý našli vo svojej schránke spolu so zvyškom podobných letákov.	In today’s attention economy, people screen out magazine ads, they Tivo out TV ads, ignore billboards and throw away your carefully crafted direct mail campaign with the rest of the junk mail.	0.17037
Trávia viac a viac času on-line, najčastejšie na sociálnych sieťach.	They spend more and more time online— especially on social networking sites.	0.27
Kým vy sa snažíte zaujať novým obchodom, oni aktualizujú svoje profily na Facebooku a "tweetujú" svoje myšlienky na Twitteri.	While you’re trying to attract new business, they’re updating their Facebook profiles and "tweeting” their every thought on Twitter.	0.280556
Ak patríte medzi maloobchodníkov, môže to byť pre vás veľmi užitočná správa.	If you’re a small business owner, this is good news.	0.15
Dokážete byť totiž tam, kde vaši potenciálni zákazníci a ušetriť peniaze, ak výsledok svojej snahy zverejníte on-line.	You can go where your market is and save money by focusing your marketing efforts online.	0.188
Ak sprístupníte vaše produkty a služby on-line pre zákazníkov, ste na polovičnej ceste k úspechu.	If you can make your products or services easy to find online, you’re halfway there.	0.24507
Táto publikácia vám ukáže, ako začať práve teraz a využiť pri tom prostriedky on-line marketingu.	This book will show you how to get started right now with the new online marketing tools.	0.259459
Ťažiskom publikácie je nová forma marketingu, ktorý využíva prostriedky s nízkymi alebo takmer žiadnymi nákladmi, ako sú blogy, podcasty, Facebook, YouTube a Twiter.	This book has a focus on the new marketing: the new low-to-no cost online tools like blogs, podcasts, Facebook, YouTube and Twitter.	0.60559
Nie sú to jednoducho len najnovšie prostriedky on-line marketingu, ale zásadne nový spôsob v tejto oblasti.	These are not simply the latest online marketing tools, but a fundamentally new approach to marketing.	0.459425
Táto publikácia však nie je manifest o tom, ako si nájsť najnovšiu on-line zábavku.	But this is not a trend- chasing manifesto for seeking out the latest shiny new online toy.	0.278873
Pozornosť orientuje skôr na vašu marketingovú stratégiu než na prostriedky a ich vlastné využitie.	The focus is firmly on your marketing strategy, rather than on the tools for their own sake.	0.264935
Nie každý prostriedok je vhodný pre každý druh biznisu.	Not every tool is right for every business.	0.210811
Napriek tomu, že hovoríme o širokom rozsahu nových prostriedkov, ktoré sú k dispozícii, vo sfére on-line marketingu sú vnímané v ešte širšom kontexte: vytvárajú vašu webovú stránku, využívajú marketing vo vyhľadávačoch, vytvárajú úspešné e-mailové kampane.	And although it covers the wide range of the new tools available, it puts them in the wider context of online marketing: building your website, using search engine marketing, and creating a winning email campaign are equally important.	0.263819
Viacero činností na Twitteri, Facebooku, YouTube a i. bude smerovať k riadeniu frekvencie stránky či k presviedčaniu ľudí, aby sa prihlásili na váš e-mailový odber noviniek.	Many of your activities on Twitter, Facebook, YouTube, etc. , will be aimed at driving traffic to your website, or encouraging people to sign up to your email newsletter.	0.287413
Všetky tieto prostriedky však budú najlepšie fungovať pokiaľ bude medzi nimi spolupráca.	These things work best together.	-0.206897
To, čoho ste svedkami, môžeme nazvať marketingovou revolúciou.	What we are witnessing is nothing short of a marketing revolution.	0.294643
Namiesto bezcieľneho vykrikovania nezáživných marketingových odkazov ľuďom, ktorí sa môžu ale nemusia zaujímať o váš produkt či službu, dokážete dnes nájsť ľudí, ktorých zaujíma práve vaša ponuka a to tak, že preniknete do ich on-line komunít, kde zdieľajú spoločné záujmy.	Instead of indiscriminately shouting sterile corporate marketing messages at people who may or may not be interested in your product or service, today you can find people who are already interested in what you have to offer, by tapping into online communities of interest.	0.366649
Na súčasnom konkurenčnom trhu musíte byť na očiach.	In today’s competitive marketplace you need to be findable.	0.253333
Musíte sa dostať tam, kde sú vaši zákazníci a zapojiť ich do konverzácie, z ktorej dostanete spätnú väzbu.	You need to go where your customers are and engage them in a two-way dialogue.	0.372115
Prvá éra v oblasti marketingu začínala masovým marketingom. ~~~ Zrod reklám ako ich poznáme, kde priemerné produkty boli opakovane propagované podľa možností čo najväčšej skupine obyčajných ľudí využívajúc metódy masovej komunikácie, prevažne televíziu.	The first era of marketing was mass marketing—the dawn of advertising as we know it, where average products were repeatedly advertised to the largest possible number of average people, using mass communication methods, particularly television.	-0.00785714
