Medzi extázou a vytriezvením vám bude váš milenec pripomínať narkomana.	From ecstasy to withdrawal, the lover resembles an addict.	0.229412
Ako sa dozviete o skutkoch vykonaných v mene lásky?	When we want to read of the deeds that are done for love, whither do we turn?	0.177273
Stačí si vyhľadať rubriku pod názvom Vraždy.	To the murder column.	-0.0157895
George Bernard Shaw	George Bernard Shaw	2.55
George Bernard Shaw spoznal silu romantickej lásky a náklonnosti na vlastnej koži.	George Bernard Shaw knew the power of romantic love and attachment.	0.977586
Romantická láska a náklonnosť sú podľa neho závislosťami. ~~~ Keď sa ľuďom vo vzťahu darí, hovoríme o (úžasne) pozitívnej závislosti, a keď vzťah stroskotáva, hovoríme o (zničujúcej) negatívnej závislosti.	Both, I will maintain, are addictions—wonderful addictions when the relationship is going well; horribly negative addictions when the partnership breaks down.	-0.0168
Tieto dve závislosti lásky sa vyvíjajú už veľmi dlho. ~~~ Začalo to asi pred 3,2 miliónmi rokov, keď Lucy so svojimi príbuznými a priateľmi blúdili po pastvinách východnej Afriky.	Moreover, these love addictions evolved a long time ago, as Lucy and her relatives and friends roamed the grass of east Africa some 3. 2 million years ago.	0.113942
Vezmite si romantickú lásku.	Take romantic love.	0.166667
Veď aj spokojný milenec má všetky vlastnosti narkomana.	Even a happy lover shows all of the characteristics of an addict.	0.263265
Aj láskou posadnutí muži a ženy túžia po emocionálnom a fyzickom spojení s milovanou osobou.	Foremost, besotted men and women crave emotional and physical union with their beloved.	0.288158
Táto túžba je súčasťou všetkých závislostí.	This craving is a central component of all addictions.	0.238462
Pri pomyslení na objekt svojho záujmu milenci tiež pociťujú nával vzrušenia, čo je forma istej intoxikácie.		-0.3
Čím viac ich posadnutosť naberá na sile, tým viac sa milenec snaží nadviazať spojenie s milovanou osobou.		-0.3
V literatúre, ktorá sa zaoberá drogovými závislosťami a ich prevenciou, sa tento stav označuje ako intenzifikácia.	Lovers also feel a rush of exhilaration when thinking about him or her, a form of intoxication.	0.401471
Obsesívne premýšľajú o milovanej osobe, čo je porovnateľné s dotieravými myšlienkami drogovo závislých.	As their obsession builds, the lover seeks to interact with the beloved more and more, known in addiction literature as intensification.	0.218478
Milenci vidia realitu skreslene a svoje priority a každodenný život prispôsobujú milovanej osobe.	They also think obsessively about their beloved, a form of intrusive thinking fundamental to drug dependence.	0.48289
Často siahajú po nevhodných, nebezpečných a extrémnych riešeniach, len aby ohromili toho druhého, alebo aby s ním zostali v kontakte.	Lovers also distort reality, change their priorities and daily habits to accommodate the beloved, and often do inappropriate, dangerous, or extreme things to remain in contact with or impress this special other.	0.127826
Osobnosť človeka sa môže zmeniť. Tento jav je známy ako afektívna porucha.	Even one’s personality can change, known as affect disturbance.”	0.263158
Mnohí beznádejne zamilovaní sú skutočne ochotní obetovať sa v prospech svojej lásky, dokonca by pre milovaného človeka zomreli.	Indeed, many smitten humans are willing to sacrifice for their sweetheart, even die for him or her.	0.203571
Tak ako narkoman trpí, keď nemá prístup k drogám, aj milenca sužuje, ak je odlúčený od milovanej osoby. V oboch prípadoch ide o separačnú úzkosť.	And like addicts who suffer when they can’t get their drug, the lover suffers when apart from the beloved— separation anxiety.”	0.261111
Skutočný problém sa dostaví po odmietnutí.		-0.3
Väčšina opustených mužov a žien pociťuje príznaky, ktoré sú podobné abstinenčným príznakom.	Trouble really starts, however, when a lover is rejected.	0.414
Ide hlavne o námietky, záchvaty plaču, letargiu, úzkosť, poruchy spánku (príliš veľa alebo príliš málo spánku), stratu chuti do jedla alebo prejedanie sa, podráždenosť a pocit neustálej samoty.	Most abandoned men and women experience the common signs of drug withdrawal, including protest, crying spells, lethargy, anxiety, sleep disturbances (sleeping way too much or way too little), loss of appetite or binge eating, irritability, and chronic loneliness.	0.192216
Milenci sa môžu stať závislými tak ako drogovo závislí.	Lovers also relapse the way addicts do.	0.176471
Ešte dlho po ukončení vzťahu v nich môžu isté udalosti, ľudia, miesta, piesne alebo iné vonkajšie podnety súvisiace s rozchodom vyvolať nepríjemné spomienky.	Long after the relationship is over, events, people, places, songs, or other external cues associated with the abandoning partner can trigger memories.	0.28855
Spustia novú lavínu túžby, znepokojivé myšlienky, neustálu potrebu volania si, písania si alebo náhodného stretnutia.	This sparks a new round of craving, intrusive thinking, compulsive calling, writing, or showing up—all in hopes of rekindling the romance.	0.256731
To všetko v nádeji, že sa románik opäť oživí. ~~~ Láska sa neustále spája s prejavmi všetkých závislostí. ~~~ Niektorí psychológovia prišli k záveru, že romantická láska sa môže teoreticky stať závislosťou.	Because romantic love is regularly associated with a suite of traits linked with all addictions, several psychologists have come to believe that romantic love can potentially become an addiction.	-0.124444
Myslím si, že romantická láska je závislosťou. ~~~ Ako som už spomenula, je to závislosť v najlepšom zmysle slova, keď je láska opätovaná, netoxická a primeraná. ~~~ Ak sú pocity romantickej lásky nevhodné, jedovaté, neopätované alebo s úplnou platnosťou odmietnuté, je to závislosť zničujúca.	I think romantic love is an addiction—as I have mentioned, a positive addiction when one’s love is reciprocated, nontoxic, and appropriate; and a disastrously negative addiction when one’s feelings of romantic love are inappropriate, poisonous, unreciprocated, or formally rejected.	-0.118357
Ak počiatočná myšlienka nie je úplne absurdná, potom tu nie je žiadna nádej, povedal údajne Einstein.	If at first the idea is not absurd, then there is no hope for it,” Einstein reportedly said.	0.256579
Len málo vysokoškolských pracovníkov a laikov považuje túto romantickú lásku za závislosť. ~~~ Domnievajú sa, že všetky závislosti sú chorobné a škodlivé.	Few academics and laymen regard romantic love as an addiction—because they believe that all addictions are pathological and harmful.	-0.0234783
Údaje však túto hypotézu nepotvrdzujú.	Data do not support this notion, however.	0.291429
