Ako sa ľudský mozog prispôsobuje slepote a dovoľuje nám vidieť svet prostredníctvom echolokácie.	How the human brain adapts to blindness and allows us to see our world through echolocation.	0.273077
Hoci by ste to na neho nepovedali, Daniel Kish je nevidiaci od trinásteho mesiaca svojho života.	Daniel Kish has been blind since he was 13 months old, but you wouldn’t be able to tell.	0.787745
Bicykluje sa preľudnenými ulicami, kempuje v divočine, pláva, tancuje a robí ďalšie iné aktivity, ktoré by mnohí na nevidiacom považovali za nemožné.	He navigates crowded streets on his bike, camps out in the wilderness, swims, dances and does other activities many would think impossible for a blind person.	0.418807
Ako to robí?	How does he do it?	0.190909
Kish je ľudský echolokátor. V skratke, skutočný Daredevil.	Kish is a human echolocator, a real life Daredevil.	0.912121
Ľudskí echolokátori využívajú podobnú techniku ako netopiere či delfíny. Riadia sa zvukovými signálmi, ktoré vysielajú odrážajúce sa povrchy v prostredí.	Using a technique similar to what bats and dolphins use, human echo-locators navigate using audio cues given off by reflective surfaces in the environment.	0.295489
Len zopár ľudí vie, že táto istá technika funguje aj u ľudí.	Few people know that this same technique can work for human beings.	0.258
Faktom ale je, že echolokácia je pre ľudí ochudobnených o vizuálnu informáciu celkom prirodzená.	But as a matter of fact, echolocation comes quite naturally to people like Kish, who are deprived of visual information.	0.235714
Nepamätám sa, že by som sa to učil, hovorí.	I don’t remember learning this, he says.	0.291429
Moje najstaršie spomienky sú na to, ako som objavoval rôzne veci a následne skúmal, čo by mi mohli pripomínať.	My earliest memories were of detecting things and noting what they might have reminded me of and then going to investigate.	0.264516
Kish sa narodil s bilaterálnymi retinoblastómami, drobnými rakovinami sietnice. Sietnica je časť oka zodpovedná za vnímanie vizuálnej informácie.	Kish was born with bilateral retinoblastomas, tiny cancers of the retina, which is part of the eye responsible for sensing visual information.	0.440682
Pri tomto type rakoviny sa nádory tvoria zavčasu a aby sa zabránilo ich metastázovaniu, do celého tela je potrebná agresívna liečba.	Tumors form early in this type of cancer, so aggressive treatment is necessary to ensure they don’t metastasize to the rest of the body.	0.433709
Bohužiaľ, nádory sa od sietnice nedajú odlúčiť.	Unfortunately, the tumors cannot be separated from the retina.	0.207143
Na ich zničenie sa využíva laserová liečba po ktorej nasleduje chemoterapia.	Laser treatments are performed to kill them off, followed by chemotherapy.	0.290769
Spolu s rakovinou sa však zničí aj sietnica, čo znamená, že pacienti často zostávajú úplne nevidiaci.	The result is that the retina is destroyed along with the cancer, meaning patients often are left completely blind.	0.262069
Kish prišiel o svoje prvé oko, keď mal 7 mesiacov a o druhé len mesiac po svojich prvých narodeninách.	Kish lost his first eye at 7 months and the other at 13 months.	0.5
Na to, že niekedy videl si nepamätá.	He has no memory of having eyesight.	0.3
Jeho najstaršia živá spomienka pochádza z časov, keď mal asi dva a pol roka. Vyštveral sa z okna svojej izby a prešiel k pletivovému plotu na dvore za domom.	His earliest vivid memory is from when he was very young, maybe 2½. He climbed out his bedroom window and walked over to a chain-link fence in his backyard.	0.397674
Keďže bol zvedavý, čo sa za plotom skrýva, preliezol ho a zvyšok noci skúmal okolie.	Curious as to what they were, he climbed over the fence and spent much of his night investigating.	0.253521
Bena Underwooda postihol rovnaký osud. ~~~ Aj jemu v dvoch rokoch diagnostikovali bilaterálny retinoblastóm a taktiež sám sa naučil využívať echolokáciu.	Like Kish, Ben Underwood was a self-taught echolocator and was also diagnosed with bilateral retinoblastomas, in his case at the age of 2.	0.0628222
Po mnohých neúspešných pokusoch o záchranu jeho zraku radiáciou a chemoterapiou sa jeho matka rozhodla nechať mu vyoperovať pravé oko a sietnicu ľavého oka.	After many failed attempts to save his vision by treating the tumors with radiation and chemotherapy, his mother made the difficult decision to remove her son’s right eye and left retina.	0.246269
To spôsobilo, že Ben úplne oslepol.	This left Ben completely blind.	0.767857
O zopár rokov sa však stalo niečo vskutku pozoruhodné. ~~~ Keď Ben sedel na zadnom sedadle auta so stiahnutým oknom zrazu povedal: Mami, vidíš tamtú vysokú budovu?	A couple of years later, when Ben was in the back seat of the car with the window down, he suddenly said, Mom, do you see that tall building there?	0.0327715
Matka bola šokovaná tým, čo povedal a reagovala: Ja ju vidím, ale vidíš ju aj ty?	Shocked by his statement, his mother responded, I see the building, but do you see it?	0.277612
Ukázalo sa, že Ben zachytil rozdiely zvukov prichádzajúcich z prázdneho priestoru a zvukov odrážajúcich sa od vysokej budovy.	It turned out Ben had picked up on the differences in sounds coming from empty space versus a tall building.	0.552456
Ben začal tľoskať jazykom keď bol v škole.	When Ben was in school, he started clicking with his tongue.	0.508333
Zo začiatku to bol len nepatrný zvyk, no neskôr sám zistil, že ho môže využívať na zisťovanie približného tvaru, polohy a veľkosti predmetov.	At first it was an idle habit, but then he realized he could use the skill to detect the approximate shape, location and size of objects.	0.406416
Netrvalo dlho a mohol sa bicyklovať, skejtbordovať, hrať videohry, kráčať sám do školy a robiť prakticky hocičo, čo môže robiť bežný chlapec v jeho veku.	Soon, Ben was riding a bicycle, skateboarding, playing video games, walking to school and doing virtually anything else an ordinary boy his age could do.	0.415385
Nikdy nevyužil možnosť vodiaceho psa, slepeckú palicu, či svoje ruky.	He never used a guide dog, a white cane or his hands.	0.174419
Žiaľ, Ben v roku 2009 zomrel.	Very sadly, Ben passed away in 2009 after the cancer that claimed his eyes returned.	4.89086
Na ľavom obrázku je Daniel Kish riadiaci dvojbicykel.	Left, Daniel Kish takes the lead on a tandem bike ride.	0.960145
Na pravej fotografii z roku 2006 hrá Ben Underwood s kamarátom basketbal.	Right, Ben Underwood, shown in 2006, plays basketball with a friend.	0.529661
Využívanie echolokácie	Experiencing echolocation	0.259091
Po stáročia sa výskumníci snažili prísť na to, čím si nevidiaci kompenzujú stratu zraku.	For centuries, researchers have been trying to find out how blind people compensate for their loss of vision.	0.232895
Možno bolo jasné, že niektorí boli občas schopní predmety nevydávajúce žiaden zvuk počuť.	It was clear that some blind people occasionally were able to hear objects that were apparently making no sounds.	0.230769
No nikto skutočne nevedel, ako to robia.	But no one knew exactly how blind people did this.	0.24
Hoci sa netopieria echolokácia dokázala už v roku 1938, vedcov nijako vážne tento jav nezaujímal. ~~~ Prelom nastal až na začiatku studenej vojny, kedy vojenské financovanie podporilo tento výskum.	And although bat echolocation was documented in 1938, scientists didn’t become seriously interested in the phenomenon until the early years of the Cold War, when military funding made the research feasible.	-0.00710059
Ukázalo sa, že ľudská echolokácia je príbuzná aktívnemu sonaru a druhu echolokácie, ktorú využívajú delfíny a netopiere, avšak nie je až tak dokonale preskúmaná.	It turns out human echolocation is akin to active sonar and the kind of echolocation used by dolphins and bats, but less fine-grained.	0.230973
Zatiaľ čo netopiere dokážu lokalizovať predmety vo veľkosti muchy, ľudskí echolokátori tvrdia, že na lokalizáciu predmetov ich veľkosť musí zodpovedať aspoň veľkosti pohára.	While bats can locate objects as small as flies, human echolocators report that objects must be much larger — about the size of a water glass — for them to be locatable.	0.271942
Filozofi a neurovedci často v tejto súvislosti hovoria o fenomenológii prežívania tohto javu.	Philosophers and neuroscientists often talk about phenomenology, or what it’s like to have an experience.	0.263415
Ak sa za predpokladu, že osoba nie je farboslepá ukážeme červenú guľôčku a spýtame sa jej na jej farbu, malo by byť pre ňu jednoduché odpovedať, že je červená.	If we show you a red ball and ask you about its color, assuming you’re not colorblind, it should be easy for you to answer red.	0.326645
Avšak, ak vás požiadame, aby ste popísali, aké je to červenú farbu vidieť, bude to pre vás náročnejšie.	However, if we ask you to describe what it’s like to see the color red, you’d have a much harder time answering.	0.598548
Vzhľadom na samotný charakter otázok týkajúcich sa tejto fenomenológie je ich takmer nemožné zodpovedať. ~~~ Rovnako je neraz zložité presne odhaliť, aké je to zažívať echolokáciu.	By their very nature, questions about phenomenology can be nearly impossible to answer, making it hard to discover exactly what it’s like to experience echolocation.	-0.0137324
Kish konštatuje, že vďaka jeho takmer celoživotnej slepote danú schopnosť nemá k čomu prirovnať.	Indeed, Kish says that, because he has been blind for as long as he can remember, he has nothing to compare his experience to.	0.428571
Nedokáže celkom jednoznačne povedať, či je jeho schopnosť podobná videniu.	He can’t really say whether his experience is like seeing.	0.204
Zároveň však tvrdí, že má priestorovú predstavivosť s vlastnosťami odhaľujúcimi hĺbku a rozmer.	However, he says he definitely has spatial imagery, which has the properties of depth and dimension.	0.292857
Výskum poukazuje, že obraznosť echolokácie je vytvorená tou istou neurológiou, ktorá spracováva zrakové informácie u vidiacich ľudí.	Research indicates that the imagery of echolocation is constructed by the same neurology that processes visual data in sighted people.	0.297414
Informácia tak neprechádza optickou dráhou, teda spojením smerujúcim z oka do mozgu, ale končí na rovnakom mieste.	The information isn’t traveling down the optic pathway — the connection from the eyes to the brain — but it ends up in the same place.	0.266667
Niektorí jedinci, ktorí oslepli v oveľa vyššom veku ako Ben či Kish, popisujú tento zážitok ako zrakový, pretože rozoznávajú svetlé prostredie, záblesky a tiene.	And some individuals who have gone blind later in life describe the experience as visual, in terms of flashes, shadows or bright experiences.	0.2525
Zdá sa, že je teda možné, že zraková obraznosť echolokátorov sa podobná obraznosti vidiacich.	It seems possible that echolocators have visual imagery that is similar to that of sighted people.	0.288889
Keďže Ben neustále tvrdil, že vidí predmety, ktoré zaznamenal bez toho, aby ich počul, môžeme jeho prípad brať ako istý dôkaz tejto teórie.	Ben’s case provides some evidence of this, as he consistently reported seeing the objects he could detect, not just hearing them.	0.278182
Informácie z jeho vlastných skúseností nie sú však spoľahlivé, a preto je tu aj ďalší dôkaz toho, že Ben naozaj videl ušami.	And while self-reports are notoriously unreliable, there is other evidence that Ben really could see with his ears.	0.442743
Očné protézy Benovi nahradili jeho pôvodné oči, no keďže jeho očné svaly zostali neporušené, umožnili mu tak hýbať očami v rôznych smeroch podobne ako pri skutočných očiach.	Ben had prosthetic eyes that replaced his real ones, but since his eye muscles were still intact, the prosthesis moved in different directions, much like real eyes.	0.280576
V britskom dokumentárnom programe Extraordinary people: The Boy Who Sees Without Eyes (Neobyčajní ľudia: Chlapec, ktorý vidí bez očí, prekl. D. K.) bolo možné v niekoľkých situáciách vyžadujúcich rýchle zaostrenie na rôzne predmety v zornom poli pozorovať kmitanie jeho očných protéz.	In the documentary Extraordinary People: The Boy Who Sees Without Eyes, it’s clear Ben’s prosthetic eyes were making saccades in several situations that require focusing quickly on different objects in the peripheral field.	0.746599
Pod kmitaním rozumieme rýchly koordinovaný pohyb oboch očí k ich ohnisku.	Saccades are the quick, coordinated movements of both eyes to a focal point.	0.295313
Hoci sa v dokumente kmitanie jeho očí vôbec nespomína, niet pochýb, že bolo viditeľné a že sa zhodovalo s prijímanými sluchovými podnetmi.	The documentary never discussed Ben’s saccadic eye movements, but there’s no doubt they occurred and that they matched the auditory stimuli he received.	0.266949
Napríklad v jednej scéne hral Ben video hru, ktorá vyžadovala zneškodnenie objektov prichádzajúcich do záberu.	For example, in one scene, he was playing a video game that required destroying objects entering the scene.	0.46772
Hoci mu echolokácia neumožnila vidieť obraz na plochej obrazovke, Ben bol schopný hrať hry na princípe zvukových efektov vychádzajúcich z reproduktorov.	Although echolocation didn’t give him the ability to see the images on a flat screen, Ben could play games based on the sound effects played through the television’s speakers.	0.402529
Podobne ako väčšina nevidiacich ľudí, aj Ben využil zvukové podnety na určenie toho, kde na obrazovke sa predmety nachádzajú	Like many blind people, Ben used the sound cues to figure out where objects were on the screen.	0.351566
Jeho kmitavé pohyby očí tak zodpovedali zmenám polohy virtuálnych objektov.	His saccadic eye movements corresponded to the changes in location of the virtual objects.	0.250746
Primárnou funkciou kmitavého pohybu očí je videnie vo vysokom rozlíšení.	The primary role of saccadic eye movements is to guarantee high resolution in vision.	0.257812
Vo vysokom rozlíšení dokážeme vidieť len vtedy, ak obrazy z vizuálneho poľa dopadajú na ústrednú jamku sietnice nazývanú fovea.	We can see with high resolution only when images from the visual field fall on the retina’s central region, called the fovea.	0.435714
V prípade, že obraz dopadá na periférnejšie oblasti sietnice, nevidíme ich úplne jasne.	When images fall on the more peripheral areas of the retina, we don’t see them very clearly.	0.296053
Vtedy na ústrednú jamku sietnice dopadá len nepatrná časť celého obrazu.	Only a small fraction of an entire scene falls on the fovea at any given time.	0.295238
Rýchly pohyb očí môže zabezpečiť, že sa pozeráte na viacero častí celého obrazu vo vysokom rozlíšení.	But rapid eye movements can ensure that you look at many parts of an entire scene in high resolution.	0.289286
Hoci to nie je hneď zrejmé, mozog si tak vytvára trvalý obraz utvorený z množstva jednotlivých snímok.	Although it’s not immediately apparent, the brain creates a persisting picture based on many individual snapshots.	0.255172
Pohyby očí ovládajú mnohé faktory, ako je napríklad predstava o prostredí, jeho zmena či mienené konanie.	Many other factors govern eye movements, including changes in and beliefs about the environment, and intended action.	0.263736
Dobrým príkladom je pohyb oka v smere náhleho alebo neočakávaného zvuku.	For example, your eyes move in the direction of a sudden noise.	0.243396
Kmitavé pohyby očí sa však vyskytujú aj pri vybavovaní si vizuálnych predstáv, ktoré nie sú ovplyvnené nijakým zmyslovým faktorom alebo vonkajším prostredím.	Even when recalling visual imagery and there is no sensory input or external environment to process, saccadic eye movements still occur.	0.248718
Deje sa to, lebo mozog si popri uchovávaní informácií o prostredí zároveň uchováva aj informácie o pohyboch očí.	This happens because when the brain stores information about the environment, it stores information about eye movements along with it.	0.2375
Keď si mozog vytvára vizuálny obraz, ide pravdepodobne o zmes rôznych snímok reality, pričom rýchly pohyb očí pomáha udržať obraz usporiadaný a zaostrený.	When your brain generates a visual image, it’s likely a composite of different snapshots of reality, and rapid eye movements help keep the visual image organized and in focus.	0.516165
Tento duálny úložný mechanizmus vysvetľuje princíp Benových očí: zvukové impulzy z Benovho okolia prinútili jeho mozog, aby si vytvoril priestorovú predstavivosť zhodujúcu sa so zvukovými impulzmi a jeho kmitavé pohyby očí pomohli udržať obraz usporiadaný a zaostrený.	This dual storage mechanism explains Ben’s saccadic eye movements: The sound stimuli from Ben’s environment triggered his brain to generate spatial imagery matching the sound stimuli, and his saccadic eye movements helped keep the image organized and in focus.	0.286547
Keď sú uši očami	Seeing with Your Ears	0.192857
Aj vidiaci ľudia často používajú jednoduchú formu echolokácie avšak pravdepodobne bez toho, aby si to vôbec uvedomovali.	Sighted people often use a simple form of echolocation, too, perhaps without even realizing it.	0.215854
Keď chcete na stenu zavesiť obraz, jeden spôsob ako správne umiestniť klinec je poklopať všade okolo daného miesta a počúvať rozličné zvuky na rozličných miestach.	When you’re hanging a picture on a wall, one way to locate a stud within it is to knock around and listen for changes in pitch.	0.307618
Ak ťuknete na duté miesto v stene, zvyčajne nezačujete skutočnú ozvenu, no napriek tomu dokážete povedať, že ten priestor znie duto.	But when you tap on a hollow space in the wall, you usually don’t hear an actual echo — yet you can tell somehow that the space sounds hollow.	0.29469
Výskum udáva, že tieto typy impulzov môžeme vnímať podvedome.	Research shows we can perceive these types of stimuli subconsciously.	0.261111
Keď počujeme ozveny, ide o zvuk odrážajúci sa od vzdialených predmetov.	When we do hear echoes, it’s from sound bouncing back off distant objects.	0.295161
Ak tľosknete jazykom alebo zapískate smerom k predmetu, ktorý je blízko, ozvena sa vráti tak rýchlo, že prekryje pôvodné zvuky. ~~~ To je dôvod, prečo nie je ozvenu ľahké rozoznať.	When you click your tongue or whistle toward a nearby object, though, the echo returns so fast that it overlaps the original sounds, making it hard to hear an echo.	-0.0165441
Avšak, mozog si nevedome interpretuje kombináciu zvukov vyslanú v jednom smere a odrážajúci sa zvuk ako zmenu vo výške tónu.	But the brain unconsciously interprets the combination of the sound thrown in one direction and the returning sound as an alteration in pitch.	0.257547
Ben a Kish sú pozoruhodní tým, že používajú to, čo každý mozog nevedome, ale aktívne spracováva - orientáciu vo svete.	What makes Ben and Kish so remarkable is that they can use what everyone’s brain unconsciously detects in an active way to navigate the world.	0.528714
A hoci sa nám schopnosti týchto dvoch môžu zdať nadľudské, výskum potvrdzuje, že vidiaci ľudia dokážu túto schopnosť takisto nadobudnúť.	And although Ben and Kish may seem superhuman because of their perceptual abilities, research confirms that sighted humans can acquire echolocation, too.	0.261864
Koniec koncov, vizuálna kôra spracováva niektoré zvuky a to najmä vtedy, keď sa mozog snaží prispôsobiť zvukové a vizuálne senzorické vstupy.	After all, the visual cortex does process some sounds, particularly when the brain seeks to match auditory and visual sensory inputs.	0.415311
Americký psychológ Winthrop Niles Kellog začal skúmať ľudskú echolokáciu v čase Kubánskej raketovej krízy.	American psychologist Winthrop Niles Kellogg began his human-echolocation research program around the time of the Cuban Missile Crisis.	0.620213
Jeho výskum ukázal, že tak ako nevidiaci aj vidiaci ľudia so zaviazanými očami by sa mohli naučiť zaznamenávať predmety v prostredí pomocou zvuku. ~~~ Štúdia iného vedca ukázala, že obe skupiny ľudí dokážu trénovaním zo samotného zvuku presne určiť niektoré vlastnosti predmetov, akými sú vzdialenosť, veľkosť, tvar, materiál a relatívny pohyb.	His research showed that both blind and sighted subjects wearing blindfolds could learn to detect objects in the environment through sound, and a study by another researcher showed that, with some training, both blind and sighted individuals can precisely determine certain properties of objects, such as distance, size, shape, substance and relative motion from sound alone.	0.0397959
Zatiaľ čo vidiaci jedinci disponujú istou schopnosťou používania echolokácie, Kellog tvrdí, že v prípade nevidiacich využívajúcich echolokáciu to pri prijímaní zmyslových vnemov funguje trochu inak.	While sighted individuals show some ability to echolocate, Kellogg showed that blind echolocators seem to operate a bit differently when collecting sensory data.	0.35
Títo ľudia pri priestorovom mapovaní svojho okolia pohybujú hlavou rôznymi smermi. ~~~ Vidiaci to pri vykonávaní rovnakých typov úloh nerobia.	They move their heads in different directions when spatially mapping an environment, while sighted subjects don’t move their heads when given the same types of tasks.	-0.0231707
Zaujímavosťou je, že ak sú vidiaci dlhodobo ochudobnení o vizuálne zmyslové informácie, začnú používať echolokáciu prirodzene. ~~~ Je dokonca možné, že už po pár hodinách so zaviazanými očami.	Interestingly, when sighted individuals are deprived of visual sensory information for an extended period of time, they naturally start echolocating, possibly after only a few hours of being blindfolded.	-0.01
