Posledná noc	The Last Night	0.275
Nezachoval sa žiadny dôkaz o tom, že by sa Romanovovci správali inak než poslušne.	No evidence survives to suggest the Romanovs reacted with anything but docility.	0.3
Mikuláš nesúci cároviča na rukách viedol dole do pivnice svoju rodinu a štyroch služobníkov – rodinného doktora Eugena Botkina, chyžnú Annu Demidovovú, kuchára Ivana Charitonova a sluhu Alexeja Truppa.	Carrying the tsarevitch in his arms, Nicholas led the family and the four servants—family doctor Eugene Botkin, maid Anna Demidova, chef Ivan Kharitonov, and footman Alexei Trupp—down to the cellar.	0.292941
Pre Alexandru a Alexeja priniesli stoličky, zatiaľ čo ostatní stáli.	Chairs were fetched for Alexandra and Alexei while the others stood.	0.294915
Vo dverách sa zjavil Jurovskij spolu s popravcami, ktorí stáli za jeho chrbtom. Veliteľ prečítal udiveným väzňom pripravené vyhlásenie:	Yurovsky approached them, with the executioners behind him in the doorway, and read from a prepared statement to the astonished prisoners:	0.297458
Prezídium regionálneho sovietu plniac vôľu revolúcie vydalo výnos, že bývalý cár Mikuláš Romanov, vinný za nespočetné množstvo krvavých zločinov proti ľudu, by mal byť zastrelený.	The presidium of the Regional Soviet, fulfilling the will of the Revolution, has decreed that the former Tsar Nicholas Romanov, guilty of countless bloody crimes against the people, should be shot.	0.392308
Keď Jurovskij dopovedal, začali strieľať na rodinu.	When he finished, they began firing on the family.	0.27907
Opisy udalosti sú protichodné, ale väčšina vraví, že cár bol hlavným terčom a zomrel po niekoľkých výstreloch.	Accounts are conflicting, but most say that the tsar was the main target, and that he died from several gunshots.	0.3
Cárovná zomrela s guľkou v hlave.	The tsarina died from a bullet to the head.	0.227586
Ako sa miestnosť zaplnila dymom zo zbraní, disciplína medzi zabijakmi sa vytratila.	As the room filled with gun smoke, discipline among the killers vanished.	0.252381
Zdalo sa, že veľkokňažné neboli zranené guľkami, ktoré sa odrážali od ich tela (neskôr sa zistilo, že diamantové klenoty všité do ich oblečenia sa počas prvých výstrelov správali ako brnenie).	The grand duchesses seemed unharmed by the bullets, which had ricocheted off their bodies (it was later discovered that diamond jewelry sewn into their clothing had acted like armor during the initial assault).	0.272561
Jeden z vrahov, pijan menom Ermakov, stratil všetku kontrolu a začal Romanovovcov bodať bajonetom.	One of the murderers—a drunkard named Ermakov—lost all control and began to slash at the Romanovs with a bayonet.	0.465116
Nakoniec po dvadsaťminútovom horore bola celá rodina spolu s jej služobníctvom mŕtva. Všetci boli zastrelení, dobodaní a zbití.	Finally, after a horror-filled 20 minutes, the entire family and their servants were all dead: shot, stabbed, and beaten.	0.437702
Z domu vytiahli jedenásť tiel a naložili ich do nákladného auta.	The 11 bodies were hauled out of the house and loaded onto a truck.	0.55
