Potom som vykročila po chodníku smerom nahor.	Then I went and walked back up the path toward the high-rise.	0.2175
Doma som zozbierala všetky Šibalkine hračky, jej misku na jedlo a vodu, fialovú loptičku so zvončekom vnútri aj vypchatú kvákajúcu kačku, ktorá sa jej veľkosťou skoro vyrovnala.	When I got home, I collected all of Cookie's toys, her food bowl and water bowl, the little purple ball with a bell in it, the stuffed squeaking duck that was almost her size.	0.388262
V obývačke som ich rozostavila na vrch kozubu, aby som mohla sledovať, ako jedna po druhej zmiznú.	I lined them all up on the mantel in the living room so that I could watch them disappear, one after the other.	0.274699
Naberalo miznutie na rýchlosti?	Was the disappearing growing faster every day?	0.175862
Nenaberalo.	No.	-0.3
Pohybovalo sa geograficky zo západu na východ alebo z východu na západ?	Was it moving geographically from west to east, or east to west?	0.261111
Mizol svet taxonomicky, v abecednom alebo chronologickom poradí?	Was it vanishing the world alphabetically, taxonomically, or in chronological order?	0.212069
Veru nie.	It wasn't.	0.266667
Nech sme sa snažili pochopiť, koľko sme chceli, nezdalo sa, že by sa miznutia riadili nejakým systémom.	As hard as we tried to understand it, there didn't seem to be much order to the disappearing at all.	0.278049
Jeden týždeň by bolo všetko viac-menej na svojom mieste, druhý by sa z ničoho nič vyparili časopisy, nenašiel by sa ani jeden doma či u susedov a nikto sa už neobťažoval vytlačiť nové.	A week would go by with everything pretty much in its proper place, and then all of a sudden there was no such thing as magazines, not in your home or anyone else's, and nobody to bother making new ones.	0.452941
Mizli postupne veľké veci a potom tie menšie?	Did it work its way down from the biggest things to the smallest?	0.184615
Existoval nejaký plán?	Was there a plan?	0.18
Niekedy to bolo až krásne, ale museli ste byť v správnej nálade alebo príliš unavený, aby vás to v tú chvíľu trápilo – akoby ste sa dívali na dom oproti, do ktorého ktosi vošiel a na noc zhasínal jedno svetlo za druhým.	When you were in the right mood, when you were too tired to care much, it was beautiful—like watching the house across the street as someone walked through it turning each of the lights off in order, one by one, for the night.	0.359712
V bratovej prázdnej obývačke som si sadla na podlahu a schrúmala štyri čokoládové müsli tyčinky.	I sat on the floor of my brother's empty living room and ate four chocolate chip granola bars in a row.	0.483886
Dnes som ti už raz zavolala, ale snažila som sa vymyslieť si dôvod, aby som tak mohla spraviť znovu.	I had already called you once today, but I was working on a reason to call you again.	0.23913
Odborníci naznačili, že veci, ktoré teraz budú najrýchlejšie miznúť, môžu byť nehmatateľnej, metafyzickej povahy: predstavy alebo spomienky. ~~~ Dodali, že aj spôsob myslenia je náchylný na likvidáciu, hoci nemohli poskytnúť žiadne konkrétne príklady.	Experts suggested that the things disappearing most quickly now might be intangible, metaphys- ical: concepts, memories, and modes of thought were just as vulnerable to erasure, they said, though they couldn't give any concrete examples.	-0.0110294
Napadlo mi, že by som ti mala zavolať a zistiť, či si stále pamätáš, že Šibalka je fuč.	I thought I'd better call you to see if you still remembered that Cookie had gone.	0.286765
··· Číslicu po číslici som vyťukala tvoje číslo.	··· I pushed the buttons in order.	0.540517
Po dvoch zazvoneniach si sa ozval.	It rang twice, and then I heard you.	0.3
Áno?	Hello? you said.	-0.3
To som ja, odvetila som.	It's me, I said.	0.15
To si ty, zopakoval si.	It's you, you said back to me.	0.225
Chcela som len zavolať, či si stále pamätáš Šibalku.	I just wanted to call to see if you still remembered Cookie, I said.	0.226667
Samozrejme, že si ju stále pamätám, zaznelo z tvojich úst.	Of course I still remember Cookie, you said.	0.205263
Na obidvoch koncoch linky sa rozhostilo ticho, spájal nás len statický šum.	There was silence on both our ends, a blur of static on the line between us.	0.285484
Čo si pamätáš? opýtala som sa.	What do you remember? I asked.	0.3
Spomínam si, že si si ju vybrala, pretože ťa uhryzla, začal si, a rozhodla si sa, že si musíš na svoju stranu získať práve ju.	I remember that you picked her because she bit you, you said, and you decided it was important that you win this one animal over.	0.291262
Pamätám si, že si na začiatku ani nevedela, ako sa má mačka držať, takže si ju chytala halabala.	I remember you didn't know how to hold a cat at the beginning, so you grabbed her just anywhere.	0.296203
Schmatla si ju uprostred tela, a tak si ju chcela zdvihnúť.	You grabbed her in the middle and tried to pick her up that way.	0.288
Dohryzená si bola až- až, dodal si napokon.	You got bit a lot, you added.	0.1375
Viem tvoje číslo naspamäť, ozvala som sa.	I have your number memorized, I said.	0.2625
To je fajn, povedal si na to.	That's good, you said.	0.24
··· Nechali sme to tak. ~~~ Zaželal si mi dobrú noc a naraz sme zložili.	··· And I said I should let you go, and you said good night and we hung up on each other.	-0.0310345
Momentálne si mi chýbal viac ako vtedy, keď som o teba prišla.	I missed you more now than I had when I lost you.	0.2
Rýchlejšie som zabúdala na zlé veci ako na tie dobré, a tento meniaci sa pomer mi pripadal trochu ako zamilovávanie sa, hoci som s tebou vlastne hovorila čoraz menej.	I was forgetting the bad things faster than I forgot the good, and the changing ratio felt a little bit like falling in love even though I was actually speaking to you less and less.	0.378417
Zvykla som hrať hru, ktorú som nazvala Dokážeme to?.	I used to play a game I called Are We Going to Make It?	0.286047
Či si si toho bol vedomý, alebo nie, hral si ju tiež.	You were playing too, whether you knew it or not.	0.285366
Vyzerala asi takto: čakala som doma, pretože si zabudol, že sme spolu mali ísť do kina a vybral si sa sám alebo s nejakým kamošom.	It worked like this: you'd forget that we were going to see the movie together and you'd go by yourself instead or with a friend, while I waited at home.	0.364917
Alebo si v práci zostal do štvrtej ráno, zabudol si si nabiť telefón a zobudil ma potom na gauči, kde som zaspala, zatiaľ čo som sa snažila na teba počkať.	Or you'd stay at work until four in the morning and forget to charge your phone, and you'd wake me up on the couch where I had fallen asleep trying to stay up for you.	0.283465
Zvykla som sa vtedy sama seba pýtať: Dokážeme to?	Then I would ask myself: Are We Going to Make It?	0.285
Odpoveďou mi bol tvoj ďalší čin, nech to už bolo čokoľvek – chmúrna záležitosť, ktorú som úmorne prevracala z každej strany, až kým som už nemohla viac premýšľať.	And the next thing, whatever thing you did next, would become the answer, a murky thing that I'd study until I was too tired to think about it anymore.	0.374416
Nezávislý fyzik žijúci v Arizone sa preslávil svojimi teóriami, že miznutie je možno druhom exis- tenciálnej ilúzie, podobnej optickej ilúzii.	An independent physicist living in Arizona had become famous for his theories on how the Disap- pearing might be a sort of existential illusion, analogous to an optical illusion.	0.234677
Vyhlásil, že vytratená vec naďalej existuje, dôkazom tejto skutočnosti má byť fakt, že si ju stále pamätáme a vieme si ju v hlave vybaviť.	He said the fact that we still remember what's been taken and can picture it in our minds is proof that it still exists.	0.244898
Podobne ako keď vidíte iba kačicu alebo zajaca, nikdy nie oba tvary naraz.	It's like how you only see the duck or the bunny at a given moment, never both, he said.	0.261905
Akurát si predstavte, že namiesto toho, aby ste vedeli, že zajac existuje popri vašej skúsenosti s kačkou, veríte, že je neodvratne stratený.	Only imagine that instead of knowing the bunny exists alongside your experience of the duck, you believe that it's been irrevocably lost.	0.289744
Ide jednoducho len o uhol pohľadu v čase: podobne ako môžete stratiť z pohľadu vlastný dom, keď sa od neho vzďaľujete, no znova ho nájdete pri výhľade z vrcholu kopca.	It's all about vantage point, he said, temporal vantage point: the way you might lose sight of your house when you drive away from it, but find it again when you look for it from the top of a hill.	0.256835
Pomyslenie, že váš dom sa stratil, by bolo úplne pochabé.	To think your house was lost, he said, would be loony.	0.273333
Povedal, že zmiznuté veci sú už raz také, súčasne existujú, ale maskuje ich čas.	Disappeared things were like this, he said, coexistent but obscured in time.	0.290909
Bola to jeho teória priestorovo-časovej obštrukcie.	This was his theory of spatiotemporal obstruction.	0.286667
Tí, ktorí v ňu verili, boli presvedčení, že existuje jedno zvláštne miesto, ktoré ponúka dočasnú vyššiu úroveň.	Those who believed in it believed that there was one special place that offered temporal higher ground.	0.272727
Pútnici sa vydali na istú pláž v Normandii, kde boli útesy kriedovobiele ako holuby a o ktorej sa hovorilo, že nedávno zmiznuté veci sa tu niekedy znova objavili a vyzerali poddajne a opotrebovane, okolo tridsať alebo štyridsať rokov staršie.	They made pilgrimages to a particular beach in Normandy where the cliffs were chalky white, the color of doves, and where it was rumored that recently disappeared things sometimes reappeared, soft-edged and worn and looking thirty or forty years older.	0.361829
V roku 1759 sa tu utopilo dvanásťročné dievčatko, aby sa vyhlo manželskému zväzku s oveľa starším mužom.	In 1759 a twelve-year-old girl was said to have drowned herself there to avoid marriage to a much older man.	2.12996
Aj plastové vrecká sa už vytrácali, ale môj brat ich mával vždy strašne veľa.	Plastic bags were disappearing too, but my brother had had so many of them to begin with.	0.258462
Potom som zdvihla telefón, aby som ti znovu zavolala.	Then I picked up the phone to call you back.	0.216667
Číslo som vyťukala spamäti.	I put your number in from memory.	0.264
