Rozhodla som sa poprechádzať.	I decided to take a walk.	0.214286
Išla som do centra mesta, pritisla som nos na okno pekárne a pozorovala muža so zamúčenými rukami. Cesto mäkké ako pokožka stláčal, ťahal a tvaroval do konečnej podoby hviezd.	I went into the center of town, pressed my nose against a bakery window, watched the man with flour on his hands, the dough as soft as skin, pushed and pulled and shaped at last into stars.	0.387838
Motala som sa okolo antikvariátu.	I milled about in an antique store.	0.3
Nakoniec som prišla do tetovacieho štúdia.	At last I came to our town‘s tattoo parlor.	0.283333
Teraz už nie som typ človeka na tetovanie, ale z nejakého dôvodu, v tú studenú tichú nedeľu, som sa rozhodla vojsť dnu.	Now I am not a tattoo type person, but for some reason, on that cold silent Sunday, I decided to walk in.	0.250588
Ako vám môžem pomôcť? spýtala sa ma žena vo vnútri.	Can I help you? a woman asked.	0.084
Existuje nejaké dočasné tetovanie? spýtala som sa.	Is there a kind of tattoo I can get that won‘t be permanent? I asked.	0.226667
Tetovanie henou. odpovedala mi.	Henna tattoos. she said.	0.204545
Vysvetlila mi, že vydrží šesť týždňov, používa sa na indických svadbách, je silné, krásne a celé hnedé.	She explained that they lasted for six weeks, were used at Indian weddings, were stark and beautiful and all brown.	0.269318
Ukázala mi fotky indických žien so šperkmi v nosoch, ich ruky zdobili špirály a čipky z heny.	She showed me pictures of Indian women with jewels in their noses, their arms scrolled and laced with the henna markings.	0.207692
Samozrejme, že boli prekrásne, nie ako komické krikľavé vytetované prúžky v Spojených štátoch.	Indeed they were beautiful, sharing none of the gaudy comic strip quality of the tattoos we see in the United States.	0.245783
Tetovanie henou vyjadruje zložitosť, vzťahy medzi dvoma ľuďmi, väzby, ktoré ich zväzujú a aké ťažké je nájsť ich začiatok a koniec.	These henna tattoos spoke of intricacy, of the webwork between two people, of ties that bind and how difficult it is to find their beginnings and their ends.	0.249107
Keďže som sa práve vydala a cítila som posvadobné sklamanie, chcela som niečo skutočne romantické, čo mi pomôže preplávať nocou, tak som sa pre jedno rozhodla.	And because I had just gotten married, and because I was feeling a post wedding letdown, and because I wanted something really romantic to sail me through the night, I decided to get one.	0.366667
Kam? opýtala sa ma.	Where? she asked.	0.28125
Nadvihla obočie.	She raised her eyebrows.	0.1875
Jasné. odpovedala.	Sure. she said.	0.214286
Prišla ku mne nesúc malú čiernu misku, v ktorej bola mierne lesklá, sýto červená kaša.	She came to me carrying a small black-bellied pot inside of which was a rich red mush, slightly glittering.	0.230137
Premenila mi telo na úplne novú bujnú záhradu, a potom mi dolu okolo bokov namaľovala delikátnu reťaz pásu cudnosti.	She turned my body into a stake supporting whole new gardens of growth, and then, low around my hips, she painted a delicate chain-linked chastity belt.	0.362121
O hodinu neskôr, keď farba zaschla, som sa obliekla a odišla domov za manželom.	An hour later, the paint dry, I put my clothes back on, went home to find my newly wed one.	0.273134
Jedno som vedela. Toto je môj dar pre neho, ktorý ponúkate iba raz v živote.	This, I knew, was my gift to him, the kind of present you offer only once in your lifetime.	0.247619
Nechala som ho, aby ma vyzliekol.	I let him undress me.	0.116667
Fíha. povedal a odstúpil.	Wow. he said, standing back.	0.273913
Už dávno nie sme začiatočníci.	We are no longer beginning, my husband and I.	0.177778
Vôbec ma to neprekvapuje.	This does not surprise me.	0.3
Dokonca aj vtedy, keď som mala oblečenú výzdobu poprepletaných tetovaní som vedela, že zoslabnú a ich hlinovo červená farba vybledne.	Even back then, wearing the decor of desire, the serpentining tattoos, I knew they would fade, their red-clay color bleaching out until they were gone.	0.266087
Vo svadobný deň mi na tom nezáležalo.	On my wedding day I didn‘t care.	0.244444
Teraz však záleží.	I do now.	-0.0375
O osem rokov neskôr, bledá ako návlek na podušku tu sedím so všetkými kilami navyše a všetkými problémami, ktoré čas prináša.	Eight years later, pale as a pillowcase, here I sit, with all the extra pounds and baggage time brings.	0.380233
A otázky vo mne rastú viac a viac.	And the questions have only grown more insistent.	0.139286
Naozaj sa vášeň časom zmenšuje?	Does passion necessarily diminish over time?	0.171429
Je romantická láska skutočne spoľahlivá ako prostriedok na výber partnera?	How reliable is romantic love, really, as a means of choosing one‘s mate?	0.280645
Môže manželstvo stále fungovať, aj keď je láska nahradená priateľstvom alebo dokonca ekonomickým vzťahom, v ktorom sú dvaja ľudia spätí bankovými účtami?	Can a marriage be good when Eros is replaced with friendship, or even economic partnership, two people bound by bank accounts?	0.227103
Poviem to jasne. ~~~ Stále milujem svojho manžela.	Let me be clear: I still love my husband.	-0.0388889
Neexistuje iný muž, po ktorom by som túžila viac.	There is no man I desire more.	0.096
Ale je nesmierne ťažké udržať romantiku v každodennom živote plnom maličkostí.	But it‘s hard to sustain romance in the crumb-filled quotidian that has become our lives.	0.269565
Putá, ktoré nás spájali, rozdelili peniaze, hypotéky a deti. ~~~ Tí malí krpci, ktorí nejako dokázali narušiť manželský zväzok, čím oslabili celý vzťah.	The ties that bind have been frayed by money and mortgages and children, those little imps who somehow manage to tighten the knot while weakening its actual fibers.	-0.00923077
Benjamin a ja už nemáme čas na vychladené biele víno a lososa.	Benjamin and I have no time for chilled white wine and salmon.	0.530769
Dokonca aj kúpeľne v našom dome sú v motíve obľúbenej postavičky Big Bird z televíznej detskej šou.	The baths in our house always include Big Bird.	0.27
Ak sa vám toto všetko zdá byť mizerné, nie je to tak.	If this all sounds miserable, it isn‘t.	0.220588
Moje manželstvo je ako kus pohodlného oblečenia, dokonca aj hádky v nás vyvolávajú pocit zmätenosti, no manželstvo je tým, čo môžem nazývať domovom.	My marriage is like a piece of comfortable clothing; even the arguments have a feel of fuzziness to them, something so familiar it can only be called home.	0.295276
A predsa V západnom svete sa po stáročia vymýšľali básne, príbehy a hry o cykloch lásky, o premenách a zmenách v priebehu času a spôsobe, akým nás vášeň nečakane opantá, a potom sa jednoducho vytratí.	And yet In the Western world we have for centuries concocted poems and stories and plays about the cycles of love, the way it morphs and changes over time, the way passion grabs us by our flung- back throats and then leaves us for something saner.	0.235329
Ak by bol Drakula krehkou ženou a stelesnením poslušnosti, symbolizoval by vášeň počiatočnej romantiky. ~~~ Flinstonovci by zase odzrkadľovali skúsenosti z dlhodobej lásky. Samozrejme, že je to nezmysel a hlúposť, ako známa pieseň, ktorú si nemôžete prestať spievať, a keď prestanete, samota je takmer neznesiteľná.	If Dracula—the frail woman, the sensuality of submission—reflects how we understand the passion of early romance, the Flintstones reflects our experiences of long-term love: All is gravel and somewhat silly, the song so familiar you can‘t stop singing it, and when you do, the emptiness is almost unbearable.	-0.00515267
Spoliehame sa na príbehy, ktoré vysvetľujú zložitosť lásky, povesti o žiarlivých bohoch a šípoch.	We have relied on stories to explain the complexities of love, tales of jealous gods and arrows.	0.285185
V súčasnosti sú však tieto príbehy súčasťou každej civilizácie a môžu zmeniť postup vedy na vysvetlenie toho, čo sme vždy pociťovali ako mýtus a kúzla.	Now, however, these stories—so much a part of every civilization—may be changing as science steps in to explain what we have always felt to be myth, to be magic.	0.401322
Po prvýkrát, nový výskum začal objasňovať, kde v mozgu sa nachádza láska a údaje o jej chemických zložkách.	For the first time, new research has begun to illuminate where love lies in the brain, the particulars of its chemical components.	0.237363
Ako profesorka na Rutgersovej univerzite, žije v New York City. ~~~ Jej apartmán, ktorý je celý obložený knihami sa nachádza v blízkosti Central Parku, s rozvetvenými zelenými stromami v lete a chodníkmi plných párikov držiacich sa za ruky.	A professor at Rutgers University, she lives in New York City, her book-lined apartment near Central Park, with its green trees fluffed out in the summer season, its paths crowded with couples holding hands.	0.0295714
Fisherová venuje veľkú časť svojho života štúdiu biochemickej dráhy lásky vo všetkých jej prejavoch ako sú túžba, romantika, oddanosť a intenzite.	Fisher has devoted much of her career to studying the biochemical pathways of love in all its manifestations: lust, romance, attachment, the way they wax and wane.	0.274016
Automaticky si preloží nohu cez nohu a prirodzenou otvorenosťou s cinknutím ľadu v pohári, rozpráva o vzostupoch a pádoch lásky spôsobom, akým väčšina ľudí hovorí o nehnuteľnostiach.	One leg casually crossed over the other, ice clinking in her glass, she speaks with appealing frankness, discussing the ups and downs of love the way most people talk about real estate.	0.296129
ˇŽena nevedome používa orgazmus ako prostriedok na rozhodnutie sa, či je muž pre ňu dobrý alebo nie.	A woman unconsciously uses orgasms as a way of deciding whether or not a man is good for her.	0.264474
Ak je netrpezlivý a drsný a ona nedosiahne orgazmus, inštinktívne cíti menšiu pravdepodobnosť, že bude dobrý manžel a otec.	If he‘s impatient and rough, and she doesn‘t have the orgasm, she may instinctively feel he‘s less likely to be a good husband and father.	0.424528
Vedci sa domnievajú, že chýbajúci ženský orgazmus môže ženám pomôcť rozlíšiť pána Dokonalého od pána Nedokonalého.	Scientists think the fickle female orgasm may have evolved to help women distinguish Mr. Right from Mr. Wrong.	0.280851
Jednou z Fisherovej hlavných činností za posledné desaťročie je skúmať lásku, doslova pomocou prístroja magnetickej rezonancie (MRI).	One of Fisher‘s central pursuits in the past decade has been looking at love, quite literally, with the aid of an MRI machine.	0.262857
