Môže chudobný roľník skutočne cítiť vášeň?	Could a lice-ridden peasant really feel passion?	0.260526
Je zaujímavé, ako sa to všetko vyvíja.	Easily, as it turns out.	0.128571
Súčasní vedci veria, že romantika je ľudská a je súčasťou nášho mozgu už z obdobia Pleistocénu.	Scientists now believe that romance is panhuman, embedded in our brains since Pleistocene times.	0.288889
V štúdii 166 kultúr, antropológovia Wiliam Jankowiak a Edward Fischer pozorovali dôkazy vášnivej lásky u 147 z nich.	In a study of 166 cultures, anthropologists Wiliam Jankowiak and Edward Fischer observed evidence of passionate love in 147 of them.	2.94521
V ďalšej štúdii požiadali mužov a ženy z Európy, Japonska a Filipín o vyplnenie prieskumu, v ktorom mali uviesť mieru skúseností s vášnivou láskou.	In another study men and women from Europe, Japan, and the Philippines were asked to fill out a survey to measure their experiences of passionate love.	0.4152
Všetky tri skupiny uviedli, že vášeň cítia rovnakou spaľujúcou intenzitou.	All three groups professed feeling passion with the same searing intensity.	0.3
Hoci romantická láska môže byť všeobecná, jej kultúrna podoba nie je.	But though romantic love may be universal, its cultural expression is not.	0.28
Kmeni Fulbov zo severného Kamerunu záleží viac na duševnej rovnováhe než na vášni.	To the Fulbe tribe of northern Cameroon, poise matters more than passion.	0.261905
Muži, ktorí trávia príliš veľa času so svojimi manželkami sú na smiech a u zbabelých je predpoklad na počarovanie.	Men who spend too much time with their wives are taunted, and those who are weak-kneed are thought to have fallen under a dangerous spell.	0.39433
Láska môže byť potrebná, ale v kmeni Fulbov sú prejavy lásky znakom nemravnosti, prirovnávané k chorobe a spoločenskému poníženiu.	Love may be inevitable, but for the Fulbe its manifestations are shameful, equated with sickness and social impairment.	0.270874
V Indii je romantická láska tradične vnímaná ako nebezpečná hrozba pre dobre vytvorený kastový systém, v ktorom sú manželstvá prostriedkom k zachovaniu línie a pokrvnej príbuznosti.	In India romantic love has traditionally been seen as dangerous, a threat to a well-crafted caste system in which marriages are arranged as a means of preserving lineage and bloodlines.	0.411111
V bájkach sú popísané hrozné príbehy a varovania o tom, čo sa stane, keď niekto nedokáže ovládnuť svoje city.	Thus the gruesome tales, the warnings embedded in fables about what happens when one‘s wayward impulses take over.	0.280435
Zdá sa, že v súčasnosti je v Indii manželstvo z lásky na vzostupe, ale často proti želaniu rodičov.	Today love marriages appear to be on the rise in India, often in defiance of parents‘ wishes.	0.280769
