Naresova výprava bola poslednou významnou expedíciou, ktorú financovala Veľká Británia.	Nares’s mission would be the last major one sponsored by Great Britain.	0.211475
Posádka arktickej výpravy, ktorú viedol George Nares, narába s pílou na ľad.	Members of the Arctic expedition led by George Nares operate an ice-cutting saw.	0.517133
V pozadí je loď Alert obklopená ľadovými kryhami.	In the background is the ship Alert, surrounded by pack ice.	0.244186
Rytina z konca 19. storočia.	Late 19th-century engraving.	0.276
Posádka polárnej výpravy Georga Naresa v rokoch 1875 – 1876 používala na vybudovanie dokov pre ich dve lode píly na ľad.	The crew of George Nares’s 1875-76 polar expedition used ice saws for carving out docks for their two ships.	0.267033
Aj napriek tomu ľadové kryhy rýchlo plavidlá uväzňovali. Člen posádky lode Alert Albert Hastings Markham si zapísal: "Veľký plávajúci ľadovec narazil do lode a vytlačil ju do výšky poldruha metra.	Even so, the pack ice could quickly entrap the vessels, as an Alert crew member, Albert Hastings Markham, recorded: "A large floe-berg pressed violently against the vessel lifting the stern out of the water to a height of about five feet.	0.63174
Na ten zvuk škrípajúcich trámov a skuvíňajúceho dreva nikdy nezabudnem."	The noise of the cracking of the beams and the groaning of the timbers was a sound that once heard will never be forgotten."	0.394602
V roku 1881 sa pokúsila dosiahnuť Severný pól ďalšia významná americká expedícia s vedeckým zameraním.	In 1881 another major American scientific expedition set out to capture the North Pole.	2.444
Viedol ju prvý poručík Adolphus Greely z Piateho pluku kavalérie Spojených štátov. Cieľom expedície Lady Franklin bolo založiť meteorologickú stanicu v rámci projektu Medzinárodný polárny rok (MPR).	Led by 1st Lt. Adolphus Greely of the Fifth United States Cavalry, the Lady Franklin Bay expedition aimed to establish a weather station as part of the first International Polar Year (IPY).	0.702156
Spolupráca začala v roku 1879, keď pri vedeckom výskume spojilo sily dvanásť krajín.	The collaboration came about in 1879 as 12 nations agreed to join forces in the scientific study of the Arctic.	0.217808
Cieľom expedície nebolo pre Spojené štáty iba zbierať vedecké poznatky, zároveň sa chceli dostať ďalej než Briti, ktorí vtedy držali rekord.	The United States’ purpose of the expedition was not only to collect scientific data, but also to claim the "farthest north” record held by the British.	0.282645
Napriek vysokým očakávaniam sa Greelyho expedícia skončila tragicky.	Despite high hopes for Greely’s mission, the results were tragic.	0.273684
Prežilo iba sedem z pôvodných dvadsiatich piatich členov expedície vrátane Greelyho.	Only seven of the expedition’s original 25 members, including Greely, survived.	0.278571
Nedostatočná príprava v kombinácii s drsným počasím spôsobila, že dodanie nevyhnutných zásob a potravín pre posádku sa oneskorilo. Z týchto dôvodov museli zostať na Ellesmerovom ostrove celé tri ročné obdobia a trpeli hladom, únavou a zimou. ~~~ Spojeným štátom sa podarilo prelomiť rekord.	Poor planning combined with harsh weather delayed the delivery of critical supplies and rations for the team, who were left for three seasons on Ellesmere Island to endure starvation, fatigue, and exposure.	-0.0264205
Dostali sa ďalej než ostatné expedície, ale stálo ich to príliš veľa.	The United States did achieve the record of farthest north, but at a great cost.	0.259322
Rytina zachytáva pochmúrnu atmosféru v stane poručíka Adolphusa Greelyho na Ellesmerovom ostrove, ktorá ohromila záchrannú skupinu po ich príchode v júni 1884.	An engraving depicts the grim scene inside Lt. Adolphus Greely's tent on Ellesmere Island that astonished the relief party when they arrived in June 1884.	0.412114
Adolphus Greely po svojej záchrane v roku 1884 údajne povedal: "Sme tu, umierame ako chlapi.	When Adolphus Greely was rescued in 1884, he reportedly said, "Here we are, dying like men.	0.667208
Dosiahli sme to, na čo sme sem prišli – zdolať rekord."	Did what I came to do—beat the record.”	0.181818
Z pôvodných dvadsiatich piatich členov prežilo iba sedem.	Of the original 25 members, only seven had survived the mission.	0.276471
Čoskoro sa začali šíriť zvesti o strašných podmienkach, v ktorých ich našli. ~~~ Nechýbali ani fámy o kanibalizme.	Rumors circulated about the grim conditions in which the men were found, including claims of cannibalism.	-0.00989011
Vedenie novín New York Herald sa nenechalo zastrašiť katastrofálnym výsledkom Greelyho misie.	Undeterred by the disaster of Greely’s mission, the New York Herald decided to sponsor its own expedition to the North Pole.	0.91279
Rozhodli sa financovať svoju vlastnú expedíciu na Severný pól. ~~~ V roku 1879 pod vedením Georga De Longa vplávala loď Jeannette cez Beringov prieliv do Arktídy. ~~~ Dúfali, že zo severného Tichého oceánu ich bude poháňať teplý morský prúd Kuroshio.	In 1879 the Jeannette, commanded by George De Long, entered the Arctic through the Bering Strait with the hope of being carried along by the warm Kuroshio ocean current from the North Pacific.	0.507117
De Long však nedbal na odporúčania rybárov, ktorí v tejto oblasti pracovali a z vlastnej skúsenosti vedeli, že prúd nebude dostatočne silný na to, aby loď poháňal.	But De Long had not heeded the advice of whalers who worked in the area and who knew from experience that the current would not be strong enough to carry the ship through.	0.509938
Ako loď Jeannette postupovala na sever, zasekla sa v ľade a o dva roky na to sa potopila.	As the ship advanced, the Jeannette became locked in ice and sank two years later.	0.470109
Bádatelia museli ťahať záchranné člny rozsiahlou pustatinou, až kým neprišli k otvorenému moru.	The expeditioners were forced to drag their lifeboats across a vast wasteland until they found open water.	0.275
Na jeseň 1881 sa im napokon podarilo dostať sa na Sibír, ale túto zničujúcu cestu prežila iba tretina posádky.	They eventually reached the coast of Siberia in the autumn of 1881, but only a third of the crew survived the devastating journey.	0.248387
Posádka lode Jeannette opustila zaseknuté plavidlo, aby vyhľadala pomoc až po dvoch rokoch.	Trapped in ice, the Jeannette was stuck for two years before her crew abandoned ship to seek rescue.	0.499286
Rytina z roku 1882.	1882 engraving.	0.26
O tri roky neskôr sa vrak lode Jeannette prekvapivo objavil na pobreží Grónska.	Amazingly, three years later, wreckage from the Jeannette had drifted to the coast of Greenland.	0.448109
Nórsky vedec a prieskumník Fridtjof Nansen vďaka nemu utvoril teóriu o existencii morského toku, ktorý sa mal tiahnuť cez celý Severný ľadový oceán.	Norwegian scientist and explorer Fridtjof Nansen used this finding to theorize the existence of a marine current that ran across the entire Arctic Ocean.	0.665551
Podľa jeho výpočtov sa mohla loď uväznená v rovnakej oblasti, kde sa potopila Jeannette, preplaviť cez celú Arktídu.	By his reckoning, if a ship was caught by the ice in the same area that the Jeannette sank, it could cross the entire Arctic.	0.294
Napokon by vyšla na druhom konci, čo by znamenalo, že prešla cez Severný pól.	It would eventually exit at the other end, having passed across the North Pole.	0.290769
Nansen sa rozhodol overiť si svoju teóriu.	Nansen decided to test his theory.	0.658571
