Po prepuknutí rezignácie, respektíve zúfalstva, sa milenec vzdáva nádeje a skĺza do depresie.	As resignation/despair sets in, the lover gives up hope and slips into depression.	0.253521
Obidva prípady sú spojené so systémom dopamínu v mozgu.	Both are linked with the dopamine system in the brain.	0.286957
Mám podozrenie, že oba prípady boli hlboko zakorenené do mysle hominínov skôr, ako sa Lucy zamilovala a možno aj stratila milovanú osobu.	And I suspect that both were deeply embedded in the hominin mind by the time Lucy was loving, perhaps even losing a beloved, long ago.	0.544653
Keď milenci narazia vo svojich romantických pocitoch na prekážku, ich vášeň sa zintenzívni a nastane to, čo nazývam frustrácia z príťažlivosti.	When lovers encounter barriers to their romantic feelings, their passion intensifies—what I call frustration-attraction.	0.255556
Nepriazeň osudu posilňuje pocity romantickej lásky.	Adversity heightens feelings of romantic love.	0.264286
Tento jav je zakorenený v mozgu.	This phenomenon is rooted in the brain.	0.235714
Ak sa odmena oneskorí, neuróny dopamínového systému v mozgu pokračujú vo svojej činnosti a udržiavajú pocity intenzívnej romantickej lásky.	When a reward is delayed in coming, neurons of the brain’s dopamine system continue their activity—sustaining one’s feelings of intense romantic love.	0.430328
Vtedy za začína závislosť.	Addiction has set in.	0.221053
Aj keď romantická láska nie je zdraviu škodlivá, je spojená s intenzívnou túžbou a úzkosťou.	Even when romantic love isn’t harmful, it is associated with intense craving and anxiety.	0.292208
Stres zvyšuje množstvo dopamínu v tele.	Stress elevates this dopamine response.	0.291429
Keď cicavce po prvýkrát zažijú prudké zvýšenie stresu, ich telo na to reaguje zvýšenou aktivitou centrálneho dopamínu a norepinefrínu a nasleduje potlačenie centrálneho serotonínu, známeho ako odpoveď na stresovú situáciu.	When mammals first experience severe stress, among their bodily reactions is an increase in the activity of central dopamine and norepinephrine and a suppression of central serotonin, known as the stress response.	0.378741
Odmietnutí milenci môžu tiež trpieť frustračnou agresiou, čo psychológovia nazývajú hnev v dôsledku opúšťania sa.	Rejected lovers can also suffer from frustration-aggression, what psychologists call abandonment rage.”	0.277419
Aj keď odmietnutý partner odchádza so súcitom a rešpektuje záväzky danej osoby v priateľskej alebo partnerskej atmosfére, mnoho opustených ľudí osciluje medzi stavom zlomeného srdca a zúrivosti. Ide o ďalšiu reakciu neurálnych korelátov.	Even when a rejecting partner departs with compassion and graciously honors his or her responsibilities as a friend or co-parent, many abandoned people oscillate between heartbreak and fury—another response with neural correlates.	0.563727
Primárny systém hnevu je úzko prepojený s centrami v prefrontálnej kôre, ktoré anticipujú odmenu.	The primary rage system is closely connected to centers in the prefrontal cortex that anticipate rewards.	0.278824
Keď si človek začne uvedomovať, že očakávaná odmena je v ohrození, dokonca nedosiahnuteľná, oblasti prefrontálnej kôry stimulujú amygdalu a sú spúšťačom hnevu, vlastnosti, ktorá vyvíja tlak na srdce, zvyšuje krvný tlak a oslabuje imunitný systém.	So as a person begins to realize that an expected reward is in jeopardy, even unattainable, these regions of the prefrontal cortex stimulate the amygdala and trigger rage, a trait that stresses the heart, raises blood pressure, and suppresses the immune system.	0.455399
Táto výbušná reakcia z dôvodu nenaplnených očakávaní je známa aj u iných cicavcov.	This rage response to unfulfilled expectations is well known in other mammals.	0.286765
Ak napríklad pohladkáme mačku, pradie.	When a cat is petted, for example, it purrs.	0.282857
Ak ju prestaneme hladkať, môže nás aj uhryznúť.	When this pleasurable stimulation is withdrawn, it sometimes bites.	0.160976
Romantická vášeň a tzv. hnev v dôsledku opúšťania sa majú veľa spoločného.	Indeed, romantic passion and abandonment rage have much in common.	0.268966
Obe spája telesné a duševné vzrušenie. Výsledkom môžu byť obsedantné myšlienky, cieľavedome zameraná pozornosť, motivácia, cielené správanie a obe sú spúšťačom intenzívnych túžob, buď s cieľom nastoliť harmóniu, alebo sa pomstiť milencovi, ktorý ich odmieta.	Both are associated with bodily and mental arousal; both produce obsessive thinking, focused attention, motivation, and goal-directed behaviors; and both cause intense yearning—either for union with or retaliation against the rejecting lover.	0.281604
Pocity romantickej lásky a hnevu môžu pôsobiť súčasne.	Moreover, these feelings of romantic love and rage can act in tandem.	0.23125
