Niekoľko stoviek bobrov nezrekonštruuje Arktídu.	A few hundred beavers won’t reengineer the Arctic.	0.293182
Zvieratá však môžu smerovať aj na sever do Kanady a na Sibír. ~~~ Rýchlo sa rozmnožujú.	But the animals may be heading north in Canada and Siberia too, and they reproduce quickly.	-0.0104167
Experiment z Argentíny je poučný. V roku 1946 na juh úmyselne doviezli 20 bobrov na podporu kožušinového obchodu.	Argentina’s experience is instructive: Twenty beavers were deliberately introduced in the south in 1946 in order to foster a fur trade.	0.399132
Dnes sa ich počet pohybuje okolo 100 000.	Today that population hovers around 100, 000.	0.632143
V predstavách Zimovcov o minulosti i budúcnosti arktického permafrostu hrajú dôležitú úlohu aj divé zvieratá. ~~~ Avšak tieto živočíchy sú väčšie ako bobry a ich vplyv na permafrost je dôležitejší.	In the Zimovs’ vision of the past and future of Arctic permafrost, wild animals also play a central role—but the beasts are bigger than beavers, and their effect on permafrost more benevolent.	0.00774648
Okrem toho, že jedli trávu, hnojili ich svojimi výkalmi, pošľapávali machy i kríky a vytrhávali stromčeky.	They fertilized it with their waste and packed it down, trampling mosses and shrubs and ripping out tree saplings.	0.283696
Od poslednej doby ľadovej nahradila tieto trávnaté pláne na východe Sibíri vlhká tundra. ~~~ Na jej severe dominujú machy a na juhu lesy.	Since the last ice age, those dry, rich grasslands have been replaced in eastern Siberia by damp tundra, dominated by mosses in the north and forests farther south.	-0.03
Podľa Zimova boli jedným z hlavných činiteľov tejto zmeny lovci, ktorí zhruba pred 10 000 rokmi zničili stáda pasúcich sa zvierat.	One key driver of that change, according to Zimov, was human hunters who decimated the herds of large grazers, by about 10, 000 years ago.	0.425553
Bez týchto zvierat, ktoré hnojili pôdu, tráva vyschla. ~~~ Bez trávy, ktorá sala vodu, sa pôda premáčala.	Without grazers to fertilize the soil, grasses withered; without grasses to soak up water, the soil got wetter.	-0.0101124
Ujali sa machy a stromy.	Mosses and trees took over.	0.257143
Keby však ľudia pred tisíckami rokov netlačili ekosystém za hranice, stále by sa na Sibíri pásli mamuty.	But if humans hadn’t pushed the ecosystem beyond a tipping point thousands of years ago, there would still be mammoths grazing in Siberia.	0.205618
Zimov pred takmer 25 rokmi vytvoril názorný projekt s rozlohou 145 kilometrov štvorcových tzv. Pleistocénny park, nachádzajúci sa v nížinách neďaleko mesta Cherskiy.	Almost 25 years ago, on lowlands near Cherskiy, Zimov created a 56-square-mile demonstration project called Pleistocene Park.	0.540606
Chcel dostať veľké pasúce sa zvieratá späť a zistiť, či dokážu obnoviť trávnaté pláne.	His idea was to bring large grazers back and see whether they would bring back the grasslands.	0.27973
Zimov spolu s Nikitom nakoniec odchytili divoké kone a neskôr z Bajkalského jazera priviezli jaky a ovce.	He and, eventually, Nikita fenced in wild horses and later trucked in yaks and sheep from Lake Baikal.	0.286047
Na jar minulého roku Nikita priviezol 12 bizónov z Dánska, prešiel pritom vyše 14 000 kilometrov nákladným autom a člnom cez Rusko.	This past spring Nikita hauled in 12 bison from Denmark, traveling 9, 000 miles across Russia by truck and barge.	0.678045
V roku 2018 sa Zimovci spojili s genetikom z Harvardovej univerzity Georgom Churchom, ktorý si myslí, že dokáže naklonovať mamuta.	In 2018 the Zimovs joined forces with Harvard University geneticist George Church, who thinks he essentially can clone a mammoth.	1.86873
Dúfame, že jedného dňa budú tieto vyhynuté zvieratá dupať okolo Pleistocénneho parku a v antropocéne sa im bude dariť.	The hope is that one day those now extinct beasts will be stomping around Pleistocene Park, thriving in the Anthropocene.	0.294059
Pleistocénny park jasne potvrdzuje hypotézu Sergeya Zimova. ~~~ Dúfa, že je aj preventívnym opatrením proti klimatickým zmenám.	The park is the ultimate test of Sergey Zimov’s hypothesis—and, he hopes, a hedge against future climate change.	0.0708333
Trávnaté pláne, najmä keď sú pokryté snehom, odrážajú viac slnečného žiarenia ako tmavý les.	Grasslands, especially when snow covered, reflect more sunlight than does dark forest.	0.284211
Pasúce sa zvieratá udupávajú sneh, a tak umožňujú únik tepla z pôdy.	Grazing animals tamp down deep snow, allowing heat to escape the soil.	0.289655
Oba tieto faktory ochladzujú zem.	Both things cool the land.	0.208696
Keby divoká zver dokázala obnoviť trávnaté pláne, spomalilo by to topenie permafrostu a tým aj zmenu podnebia.	If wildlife could restore grasslands, it would slow permafrost thaw and thus climate change.	0.24375
Aby ste však dosiahli skutočnú zmenu, museli by ste vypustiť tisíce zvierat zo zoologických záhrad na obrovské územia Arktídy.	To make a real difference, though, you’d need to unleash thousands of zoos’ worth of animals across millions of acres of the Arctic.	0.294495
Podľa Zimovcov sú dôkazy z ich parku sľubné.	The Zimovs say the evidence from their 36, 000-acre park is promising.	0.126316
Aj keď je tam približne iba 100 zvierat, trávnaté porasty parku zostávajú podstatne chladnejšie ako zem v okolí.	Even with only about a hundred animals, the park’s grasslands stay substantially cooler than the ground in the surrounding area.	0.25625
Rozdiel medzi ambíciami Zimovcov a skutočnou podobou parku je nepochybne veľký.	The gap between the Zimovs’ ambitions and the reality of the park is unquestionably large.	0.27
Raz poobede sme s Orlinskou vyšli na rozmočené trávnaté plochy, ktoré pripomínali močiar, sledovať kone.	During a tour one afternoon, Orlinsky and I hiked soggy grasses to a stretch of marsh to watch the horses.	0.289773
V diaľke sa skryl osamelý bizón.	A lone bison hid in the distance.	0.3
Nikita nás naložil do osemkolesového mini tanku a viedol cez padnuté vŕby.	Nikita loaded us onto an eight-wheel mini-tank and took us crashing through the willows.	0.474519
Po prudkom stúpaní sme prešli cez niekoľko štíhlych smrekovcov.	After a steep climb we plowed over some skinny larches.	0.242553
Preto potrebuje obrovských bylinožravcov. ~~~ Momentálne nemám žiadne zvieratá, ktoré by sa týchto stromov zbavili, vraví Nikita.	This is why he needs giant herbivores, Nikita said: At the moment I don’t have any animals which can kill those trees.	-0.0229592
Veľa času trávi získavaním finančných prostriedkov. ~~~ Naposledy bol v Kalifornii, kde sa skamarátil s bývalým guvernérom Jerrym Brownom, aby tento plán pokračoval ďalej.	He spends a lot of time raising funds, most recently in California, hobnobbing with the likes of former Governor Jerry Brown, just to keep this proof of concept going.	-0.00857143
