Rytmus a prejav	Rhythm and expression	0.171429
Sklon k opakovaniu taktiež súvisí so svalovým a nervovým tkanivom.	The tendency of repetition is also inherent in muscle and nerve tissue.	0.284483
Táto pohybová zotrvačnosť prispieva k rytmickej organizácii pohybu v zmysle periodicity.	This persistence of movement continuation is a characteristic that aids in the rhythmical establishment of a movement in the sense of the repetition and periodicity.	0.310759
Rytmický pohyb sa ľahko zautomatizuje a stáva sa prirodzeným, čo nám pomáha dosiahnuť dokonalú techniku.	Rhythmic movement easily becomes habitual and automatic, and that is important in the development of a perfected technique.	0.434753
Tieto zručnosti sa presunú do nižších (mozgových) centier len v prípade, že sa zautomatizujú. ~~~ Vo vyšších centrách sa tak uvoľní miesto, aby mohol človek vyjadriť svoju kreativitu a umeleckosť.	It is only when skills become automatic that they can be relegated to the lower centers, leaving the higher centers free for the creative and artistic factors of expression.	-0.0215753
Jedným z najdôležitejších faktorov pri tancovaní je fyzický a zmyslový efekt rytmického pohybu.	One of the most vital factors in dance is the physical, sensuous effect of rhythmic motion.	0.272727
Nahromadenie citovej energie môže spôsobiť, že vykonáme príliš prudký pohyb a môže dôjsť až k explózii.	When made too insistent, however, it is likely to pile up more emotional energy than can be satisfied — and be carried to the point of explosion.	0.195506
Jedným z najkomplikovanejších problémov pri dosahovaní citovej úprimnosti a komunikačnej zrozumiteľnosti v tanci je prejavovanie citov.	One of the most perplexing problems in obtaining sincerity of feeling and clarity of communication is that of conveying the emotion that is central to the dance.	0.26281
Neskúsení tanečníci sú často dôkazom duševného porozumenia, môžu mať pochopenie s technickými problémami a vyjadrovaním citov v danej choreografii. ~~~ Z malej časti to vplýva na ich schopnosť byť objektívnym v pohybe, čo sa zmocňuje ich chápanie.	Inexperienced dancers often give evidence of intellectual comprehension and may have a real appreciation of technical problems involved and of the emotional significance of the content that is to be danced; yet this comprehension has little effect on their ability clearly to objectify in movement what has laid hold of their understanding.	0.0188389
Tento problém často spočíva v tom, že tanečník nedokáže vnímať adekvátnu rytmickú formu, ktorá úzko súvisí s vyjadrovaním citov.	This difficulty frequently lies in the inability to perceive the adequate rhythmic forms as a correlate of the emotion being expressed.	0.286486
Rytmus je základná umelecká zložka, základ celého umenia, ale hlavne tanca kvôli kinestetickému základu vnemových celkov.	Rhythm is the primary, fundamental art form; its study is essential to all art, but especially to dance because of the letter’s kinesthetic basis of perception.	0.218692
