Obojok by mal byť povolený a pod ním má visieť knísavá protiváha.	The collar should hang loose, with a dangling counterweight below.	0.556364
Chce si byť istý, že Annin nie je pritiahnutý okolo krku ako slučka.	He wants to be sure that Anne's isn't snugged up to her throat like a noose.	0.273684
Ďalší traja chlapi ostali pozadu.	Three other men lag back.	0.190909
Jeden z nich je David Daballen, mladý a bystrý Douglas-Hamiltonov študent, ktorý ho často sprevádza na podobných výpravách.	One is David Daballen, a bright young Samburu protégé of Douglas-Hamilton's, who often accompanies the boss on missions like this.	0.759666
Druhý chlap je miestny sprievodca, ktorý nesie pušku 308 Winchester.	The second man is a local guide holding a Winchester 308 rifle.	3.26038
Tretí som ja.	The third is me.	0.25
Sledovali sme, ako sa k nej Douglas-Hamilton blíži, keď sme si všimli ďalšiu slonicu, ako prefíkane obchádza po jeho pravom boku.	As we watch Douglas-Hamilton edging forward, we notice another female elephant, a big one, probably the group's matriarch, sidling around craftily on his right flank.	0.346364
Je veľká, zrejme náčelníčka skupiny.	We duck low to escape the matriarch's view.	0.263636
Prikrčili sme sa, aby sme sa vyhli jej zornému poľu.		-0.3
Zastali sme.	We freeze.	0.24
Zatiaľ čo samica pokračuje podozrievavo a odvážne ďalej, Douglas-Hamilton si ju nevšíma, ale Daballen začína byť nervózny.	As this female comes on, suspicious and challenging, Douglas-Hamilton seems unconcerned with her, but Daballen begins to look nervous.	0.605296
Počíta, ako rýchlo by dokázal slon dobehnúť cez taký skalnatý, štrkovitý svah.	He is calculating (he'll tell me later) how fast an elephant might be able to charge across such a rocky, rubble-strewn slope.	0.132353
Potom samica urobí sériu pohybov, ktoré naznačujú ľahostajnosť, priam otvorené opovrhovanie. ~~~ Prudko sa vymočí, nahlas vyprázdni črevá a odchádza preč.	Then the big female commits herself to a sequence of gestures suggesting nonchalance, if not outright contempt: She pisses torrentially, she defecates galumphingly, and she turns away.	-0.0279851
Mladá slonica ho na pár sekúnd obdarovala pohľadom na jej veľké čelo, ochabnuté uši a pekné kly, akoby pózovala v žiare reflektorov na titulky časopisov o kráse.	For a few seconds the young female graces him with a frontal view of her large forehead, her flappy ears, her pretty tusks, as though posing for beauty shots in the glow of a flash.	0.380672
Otočila sa mu zboku.	She gives him a profile.	0.25
On zdvihol fotoaparát a spravil niekoľko fotiek.	He raises his camera and clicks off several frames.	0.293023
Potom sa odvrátila a pomaly odišla.	Then she too turns and ambles away.	0.29
Presne počas týchto pár sekúnd cez objektív uvidel, že obojok sedí presne tak, ako má.	Through his lens, in those seconds, he has seen that the collar hangs just as it should.	0.3
Bol to len falošný poplach.	The alarm was a false one.	0.272727
Anne nehrozí nijaké nebezpečenstvo, aspoň nie nebezpečenstvo udusenia či odrenín.	Anne is in no danger—or anyway, no danger of chafing or choking.	0.467172
