Všetci užívali amfetamíny, spomína.	Everybody used amphetamines, he recalls.	0.263636
V čase vojny vojenské družstvá amerického futbalu, námornícke boxerské zápasy, ako aj iné športové podujatia pomáhali vojakom udržať si dobrú náladu, pričom ich účastníci užívali amfetamíny.	During the war, to help morale, there were Army football teams, Navy boxing matches, and other sporting events.	0.0757895
Vraveli si, fíha, tieto vecičky dosť dobre fungujú.	Participants used amphetamines and found, Wow, these things really work well.	0.146667
A keď sa od roku 1946 začali vracať domov, amfetamíny si rýchlo našli svoje miesto v rôznych športových odvetviach.	After they came home, from about 1946 on, amphetamines quickly became integrated into all varieties of sport.	2.12057
Pervitín, amfetamínová látka, ktorá sa používala v období druhej svetovej vojny.	Above, Pervitin, an amphetamine in use during World War II.	0.182353
Len samotné britské jednotky mali k dispozícii 72 miliónov amfetamínových tabletiek.	British troops alone got 72 million amphetamine tablets during the war.	2.9871
Jednotky Kráľovského letectva ich užili toľko, že podľa jednej správy práve Methedrine [značka metanfetamínu] zvíťazil v bitke o Britániu.	According to one report, RAF pilots got so many it was said that Methedrine won the Battle of Britain.	0.322941
Sovietsky olympijský tím v 50. rokoch experimentoval s doplnkami na zvýšenie hladiny testosterónu, pretože chcel zvýšiť silu i výkon športovcov.	In the 1950s, the Soviet Olympic team experimented with testosterone supplements to increase strength and power.	0.214286
Od roku 1974 športová federácia Nemeckej demokratickej republiky (NDR) zastávala povinnú štátnu dopingovú politiku. ~~~ Športovcom, hoci aj od desiatich rokov života, podávala doping, nezriedka bez ich vedomia.	From 1974, the German Democratic Republic (GDR) sports federation had a mandatory state doping policy for athletes as young as 10, often without their knowledge.	-0.048913
Do roku 1978 športovci východného Nemecka užívali doping v každom športe s výnimkou jachtingu.	By 1978, East German athletes in every sport except sailing were receiving anabolic steroids.	0.296296
Na olympijských hrách v roku 1976 a 1980 však žiaden východonemecký športovec nemal pozitívny dopingový nález.	Yet in the 1976 and 1980 Summer Games, not one East German tested positive for drugs.	2.31201
Športovci z NDR si domov odniesli 216 medailí, z toho 87 zlatých.	GDR athletes won 216 medals in those Olympics, 87 of them gold.	3.05791
Počet východonemeckých športovcov, ktorí boli trvalo poznamenaní zneužívaním dopingových látok, sa odhaduje na 10 000.	An estimated 10, 000 former East German athletes were scarred by drug abuse.	0.115385
