Aféra BALCO poukázala na to, že dopingové testy boli jedna veľká fraška.	BALCO showed that drug testing was a farce.	0.430631
Bývalá atletická hviezda Marion Jonesová pri rozhovore s médiami, ktoré čakali pred federálnym súdom, po tom, ako sa priznala, že klamala federálnemu agentovi o užívaní dopingu.	Above, former track star Marion Jones pauses while speaking to the waiting media at Federal Court after pleading guilty to lying to a federal agent about her drug use.	0.383254
Jej vzorka bola pozitívna na THG, za čo jej odobrali 5 medailí, ktoré vyhrala na letnej olympiáde v roku 2000.	She tested positive for THG and was stripped of five medals won at the 2000 Summer Olympics.	0.241558
Odkedy sa začali robiť dopingové testy boli Tour de France, najstaršie a najprestížnejšie cyklistické preteky, plné škandálov.	The Tour de France, the oldest and most prestigious race in cycling, has been riven by scandal since drug testing was introduced.	0.794495
Napríklad v roku 1998 sa pred začatím pretekov našlo auto plné látok na zlepšenie športovej výkonnosti, ktoré patrilo francúzskemu tímu Festina.	In 1998, for example, a car full of performance- enhancing drugs belonging to the French Festina cycling team was found before the race.	0.273913
Všetci deviati cyklisti Festiny sa priznali, že používali erytropoetín (EPO, hormón, ktorý stimuluje tvorbu červených krviniek, čím zvyšuje vytrvalosť).	All nine Festina riders confessed to using erythropoietin (EPO, a hormone that stimulates red blood cell production and is taken to increase stamina).	0.436047
Po následnom vyšetrovaní bolo zo systematického dopingu podozrivých mnoho ďalších tímov Tour de France, pričom niektoré z pretekov aj odstúpili.	A resulting investigation cast suspicion of systemic doping on many teams of the Tour de France; several withdrew from the race.	0.538925
Američan Floyd Landis sa pôvodne stal víťazom Tour de France v roku 2006, ale po víťazstve v 17. etape boli obidve jeho vzorky moču pozitívne na zakázaný syntetický testosterón, a tak mu víťazstvo odobrali.	American Floyd Landis initially won the 2006 Tour de France, but after his Stage 17 victory, his urine twice tested positive for banned synthetic testosterone and he was stripped of the win.	0.637386
V roku 1996 bol svetovou jednotkou ďalší Američan Lance Armstrong, ktorý v tom istom roku prekonal rakovinu semenníkov.	Another American, Lance Armstrong, was number one in the world in 1996, the same year he recovered from testicular cancer.	0.612877
V roku 2005 po tom, čo po siedmykrát vyhral Tour de France, bol obvinený z dopingu. Vysvitlo, že jeho tímoví kolegovia si pichali EPO, čo iba zosilnilo mieru jeho obvinení.	In 2005, after winning his seventh Tour de France, he was accused of doping; that his teammates had been caught taking EPO gave weight to the accusations.	0.586545
V roku 2012 mu odobrali všetky tituly z Tour de France od roku 1998.	In 2012, he was stripped of his Tour de France titles since 1998.	1.14603
