Trvalo mi večnosť dostať sa domov, no keď som konečne dorazila, Melanie som už nenašla.	It took forever to get home, and when I did, Melanie was not there.	0.396364
O hodinu neskôr sa z novej rieky za naším domom vyplavilo telo mojej sestry. ~~~ Bolo pokryté modrinami a červené plastové poháre narážali o jej holé nohy. ~~~ Biely horúci blesk ma prebodol cez hruď a spálil mi hlbiny srdca na púšť.	An hour later, my sister’s body floated up in the new river behind our house, covered in bruises, red plastic cups bumping at her bare feet, and lightning spiked white-hot through my chest, searing the ground of my heart into a desert.	-0.0880952
Jediné, čo som mohla vidieť, boli iba horiace mestá, rozpadávajúce sa domy, každú výčitku a zbabelý skutok, ktoré sa vo mne premenili v oslepujúci hnev.	All I could see were cities burning, houses shelled, every regret and act of cowardice twisting through me into blinding rage.	0.238318
A v tej chvíli bola jasne predo mnou dokonalá sila, trhlina v priestore, v čase, krížom cez nespočetné osi.	And in that moment, perfect power was bright in front of me, a seam in space, in time, across myriad axes.	0.289655
Načiahla som sa a chňapla a rozdelila tak svet na dve časti.	I stretched out and grabbed it, and split the world in two.	0.293878
Jeho chápadlá sa natiahli po mne a ja som sa stiahla späť.	Its ribs reached out to me, and I reached back.	0.230769
"Nemôžeš to zmeniť, Hannah," vyhlásil duch mojej sestry, ako som trhala oblohu na kusy a rozorvala tak štruktúru vzduchu, mrakov, hmoty a pravdepodobnosti.	"You can’t change this, Hannah,” my sister’s ghost said as I tore the sky apart, shredding the fabric of air, of cloud, of matter and possibility.	0.270492
Blesky teraz tancovali pre mňa, ohýbali sa a točili, ako to kedysi robili pre Melanie.	The lightning danced for me now, bent and buckled for me the way it had only done for Melanie before.	0.258904
Ja, ja, ja všetko napravím.	I will, I will. I will fix this.	0.275
"Nemôžeš," podotkla moja sestra.	"You can’t,” my sister said.	0.24
"Dopadne to rovnako.	"It’ll end the same way.	0.268421
Možno trochu inak, no stále s tým istým koncom."	Differently, but the same."	0.108
"Prečo?" zvrieskla som.	"Why?” I screamed.	0.211765
Svet sa zrútil, sklopil sa ako mokrý ryžový papier a zroloval do seba.	The world crashed, bowed like wet rice paper, spilled inward.	0.266038
Po dome našich rodičov ostal kráter a po Melanie iba plameň.	Our parents’ house a crater, the flame that was Melanie nowhere on the brightly lit grid of eventualities.	0.570588
Nie. ~~~ Nie.	No, no, no.	-0.015
Zasa zle.	Wrong again.	0.2
"Nikdy som nemala v úmysle ti ublížiť."	"I never meant to hurt you."	0.175
Jej duch povzdychol, keď moje ruky slepo premieňali prvky reality.	Her ghost sighed as my hands blindly rearranged the components of reality.	0.541693
"Nechcela som, aby si to videla.	"I didn’t mean for you to see it.	0.71746
Hannah, tu nikdy nešlo o teba.	This was never about you, Hannah.	0.265385
Kiež by si si to uvedomila."	I wish you’d realize that."	0.3
Týždeň predtým, než moja sestra zničila svet, som nešla domov.	The week before my sister ended the world, I didn’t go home.	0.276
Zostala som v divadle a rozbila som každý tanier, každý hrnček, ktorý sa v šatni nachádzal, a hodila som črepy do tváre každého človeka, čo sa mi postavil do cesty.	I stayed in the theater and broke every plate, every mug in the green room, hurling the shards in the faces of every person who’d come to court me.	0.26
Oslepila som svojho manažéra, zmrzačila režiséra a ostatných hercov som ochromila porcelánovými črepinami.	I blinded my agent, I crippled my director, I hamstrung the rest of the actors with porcelain shrapnel.	0.272414
Búrlivý vietor šľahal okolo mňa, zdrvujúca sila sa za mnou hnala a búrka za mojimi spánkami sa čoraz viac stupňovala. ~~~ A ja som túto spúšť odviala smerom do centra mesta.	Gale-force winds whipped around me, a crushing power at my back, the storm building behind my pulsing temples, and I blew out into the city, heading downtown.	0.0199134
V obľúbenej cukrárni Melanie, kde sme si pri jej poslednej návšteve objednali šišky veľké ako naše hlavy, som vytrhla dosky z podlahy jednu za druhou a prehodila ich cez rozbité okná.	At Melanie’s favorite bakery, where we’d ordered donuts as big as our heads the last time she’d come to visit, I ripped the boards out of the floor one by one, sending them flying through shattered windows.	0.266883
Poleva vystriekla a elektrina spálila všetko, čo bolo z dreva a cukru. Vo vzduchu bolo cítiť zrelý a štipľavý zápach ozónu.	Icing splattered, electricity scorched wood and sugar alike; the scent of ozone was ripe and acrid in the air.	0.264516
"Hannah," ozval sa odraz mojej sestry v rozbitých kusoch skla na podlahe.	"Hannah,” said my sister’s reflection in the glass pieces on the floor.	0.290164
Jemný dotyk jej neviditeľnej ruky na mojom pleci ma pálil a čas ma opäť ťahal.	The gentle weight of her phantom hand on my shoulder burned, and time tugged at me again.	0.258462
"Už dosť!"	"That’s enough."	0.12
Hladná vina sa vrátila a ja som začula svoj hlas, ktorý syčal z ich úst.	The blame circles back, hungry, and I recognize my own voice hissing from its mouth.	0.238983
To je tvoja chyba, Hannah.	Your fault, Hannah.	0.966667
Všetko je tvoja chyba.	All your fault.	0.171429
Mohla si to zastaviť, no ty si bola zaslepená vlastnými sebeckými túžbami. ~~~ Dovolila si, aby ťa mesto zahmlené toxickou krásou a ľadovým chladom odviedlo od tvojich milovaných.	You could have stopped this, but you were blinded by your own ambition, your own selfishness; you let the haze of the city—the toxic glamour and crystalline cold—seduce you away from the people you love.	-0.0177632
Mali pravdu.	And it was true.	0.25
Dokonca raz, počas letu, mi celú cestu domov pretrvávala na jazyku trpká chuť slávy, aj napriek stuchnutému vzduchu v kabíne.	Even once in flight, the taste of glory lingered on my tongue the whole way home, sharp in the stale cabin air.	0.247253
No s Melanie sme zostali v kontakte.	But Melanie and I had talked, we’d Skyped.	0.626613
Zhovárali sme sa cez Skype. ~~~ Aj keď naše rozhovory prebiehali iba cez obrazovku počítača, prečo som nevidela búrku, ktorá vyčíňala doma na oblohe a umierajúce iskry odrážajúce sa v očiach mojej sestry?	Even if it had been through the computer screen, why hadn’t I seen the storms at home crackling on the horizon, their dying sparks reflected in my sister’s eyes?	-0.0145522
"Správaš sa ako sebec!" povedala moja sestra, keď som zahnala búrku do temného šialenstva nad pustými horami.	"You’re being selfish,” my sister’s latest iteration said as I whipped the storm into a dark frenzy over the barren mountains.	0.258511
Nemohla som si spomenúť, či v krovinách bolo tentokrát jej telo, alebo je to už len spomienka.	I couldn’t remember if the body in the wash this time was hers, or if that was a memory by now.	0.288158
"Ubližovať si kvôli tomu je iba spôsob, akým sa pokúšaš získať nad niečím!	"Hurting yourself over this is just a way of trying to get control over something that was never in your—” Shut up.	0.147619
Nad niečím, čo nikdy nebolo pod tvojou kontrolou."	Shut "—something that was never yours to control—” up.	0.279545
Sklapni!	Shut up.	0.2625
Svet sa skončil treskom a poskladal sa tak, že línie obzoru spľasli ako mokré origami.	The world ended with a bang, folding in on itself, the lines of the horizon collapsing like soaked origami.	0.605137
Dom našich rodičov sa premenil na sklo, na oheň a na energiu, ktorá žiarivo iskrila a bola na dosah.	Our parents’ house turned to glass, to fire, to energy sparking ripe and rich for the taking.	0.280769
Začala som tento obraz vymazávať a pochovávať tak hlboko do seba, až kým dom nebol prázdny a naši preč.	I drained it, pulling it deep into myself until the house was empty, our parents gone.	0.241667
A tak sme boli už len ja a moja sestra, jej stopa, jej ozvena.	And then there was nothing but me and my sister, her imprint, her echo.	0.246
Duch Melanie vzdychol:	Melanie’s ghost sighed.	0.285714
"Čakala som od teba viac."	"I expected better of you,” she said.	0.182609
Prázdnota sa s rachotom prebrala k životu a znova ma odhodila.	The void roared back to life, and tossed me out again.	0.246667
Takže späť do mesta, tentoraz sa vrátim viac dozadu.	So back to the city again, rewound further this time.	0.3
Naspäť okolo cukrárne, okná som nikdy nerozbila, ani nejedla koláčiky.	Back, past the donut shop, windows never scorched, pastries never eaten.	0.295161
Tentoraz som nerozbila nič.	This time I didn’t break anything.	0.24
Chodila som na konkurzy a varila ryžu a volské oká na večeru. ~~~ No a pracovala som, až kým moje telo nekričalo o pomoc, a potom pracovala ešte viac.	I went to auditions, cooked rice and fried eggs for dinner, and worked until my muscles screamed for me to stop, then worked more.	-0.0194444
Týždeň som neprehovorila ani slovo, pokiaľ som nemusela rozprávať slovami nejakej postavy.	For a week, I didn’t speak unless I was using someone else’s words.	0.171429
Noc predtým, než som nastúpila do lietadla, som sa prichytila, ako šepkám svoje tajomstvá do mrazivého nočného vzduchu a prečesávam priestor medzi mrakodrapmi svojím jazykom.	The night before boarding the plane, I found myself whispering my secrets into the frigid night air, combing the space between skyscrapers with my tongue.	0.254198
Toto šialené mesto sa mi dostávalo pod kožu.	The city madness was getting to me.	0.22
Prechádzala som cez tie isté letiská ako tieň a ich trasa mi bola teraz povedomá ako vráska na tvári, ktorá sa mi počas spánku vytvorí, keď si líce podopieram mojou ustatou dlaňou.	I passed through the same airports like a shade, the route now familiar as the curve of my sleeping cheek in my weary palm.	0.274455
Urobila som vtedy všetko správne, no prišla som domov a zistila, že búrka zničila letisko a zabránila komukoľvek pristáť.	I did everything right that time, and arrived home to find that the thunderstorm had demolished the airport, preventing anyone from landing.	0.253846
Pri ďalšom pokuse som zničila svet sama počas výpadku elektrického prúdu.	The next time, I ended the world by myself, during a power outage.	0.250909
Život tíško vyhasol a s revom znova ožil.	Life blinked out, softly, and screamed back into being.	0.188571
Prázdnota mi k nohám vymrštila kuchynský nôž na podlahu môjho bytu v Bushwicku a moje bezchybné neporušené zápästie sa mi vysmievalo.	The void spit the kitchen knife out at my feet, onto the floor of my Bushwick apartment, a taunt echoed in my perfect, intact wrists.	0.425455
Ty jedna sebecká mrcha!	You selfish bitch.	0.229412
Kolobeh zostal nenarušený.	The cycle remained unbroken.	0.288
Nežné iskry mi v tme bozkávali ruky a odrážali sa od čepele.	Gentle sparks kissed my hands in the dark, off of the blade.	0.3
V ušiach mi hučala krv.	My blood roared in my ears.	0.255
Takže znova.	Again, then.	0.3
Presmerovala som nôž.	I reoriented the knife.	0.285
"Koľko ľudí sa ešte chystáš zničiť, než to vzdáš?	"How many people are you going to destroy before you give up on me?"	0.5
