"Avšak aj trochu osamelé."	"It’s kind of lonely, though.”	0.2625
Aspoň máme jedna druhú.	"At least you have me.”	0.285
Máš pravdu, skonštatovala.	"I guess so,” she said.	0.225
"Vždy lepšie ako nič."	"That’s better than nothing.”	0.195
Zhodila som Melanie na zem a ďalších desať minút sme sa ohadzovali vypchatými zvieratami.	I tackled her to the ground and we spent the next ten minutes hitting each other with stuffed animals.	0.268831
Moja sestra vždy zomrie skôr, než nastane koniec sveta.	My sister always dies before the world ends.	0.221053
Obloha je zničená jazvami môjho úsilia a ja som taká strašne vyčerpaná.	The sky is marred with the scars of my efforts, and I am so, so tired.	0.273214
V žilách mi vyčíňa búrka. ~~~ Nasleduje ďalší kolobeh z mnohých.	The storm hums in my veins, one more cycle in many.	-0.0428571
Už ich nemôžem ani spočítať, pravdepodobnosti sa neustále utvárajú a každým možným nádychom pribúdajú nové.	I can’t count them anymore, numbers constantly in flux, ticking higher with each potential breath.	0.268235
Zaujímalo by ma, či sa tak Melanie cítila každý deň vo svojom živote.	I wonder if this is what Melanie felt like every day of her life, so ripe with power, always at the precipice, always afraid to push in fear of making things worse.	0.121182
Plná moci, avšak uväznená na okraji priepasti s pocitom strachu, že svojimi činmi môže všetko pokaziť.	This time around, I’m on the floor of my apartment, staring at my cell phone in my hand.	0.233333
Tentoraz sedím na podlahe svojho bytu a zízam na mobil.	My roommate is out and I’ve already missed my flight home.	0.287234
Spolubývajúci išiel von a ja som práve zmeškala let domov.	I let it pass, money evaporating into the void, meaningless.	0.560727
Na všetko som sa vykašľala. ~~~ Niekde na juhozápade Melanie vychádza z domu, sama a opustená a jej srdce besnie divokým ohňom.	Somewhere in the southwest, Melanie is walking out of the house, or is about to, her heart roaring with wildfire, lonely, alone.	0.0382353
Iskry jej v dlaniach tancujú do fialova a blesky pripomínajúce žily, jej po rukách blúdia hore dole.	The sparks dance purple in her hands, lightning like veins through her arms.	0.207692
Nemôžeš to napraviť.	You can’t fix this.	0.264706
Nikdy to nebolo v tvojich silách.	It was never yours to control.	0.693956
Moje ruky však šmátrajú po dotykovej obrazovke a mokré palce mi v kontaktoch kĺžu po jej tvári.	But my hands fumble over the touch screen, thumbs sliding wet over her face on the contact screen.	0.2925
Je nastavená na tú istú sprostú zvučku, ktorú mám v mojom mobile, a stupídne vyzváňa umelými hlasmi a predvoleným zvukom.	She’s programmed in the same stupid anime ringtone I have on my phone, and it jingles inanely, all synthetic voices and pre-ordained sound.	0.256311
A ja čakám, mám sucho v ústach a moje telo sa chveje ako obloha pred dažďom nad Mohavskou púšťou.	I wait, mouth dry, my body shaking like the sky above the Mojave before it rains.	0.241791
Reťazce udalostí sa žiarivými horúčkovitými údermi splietajú v mojej hlave ako veniec zo sedmokrások.	Painted in brilliant, feverish strokes in my head, the daisy chain grows.	0.17619
CIVILIZÁCIA je stav človeka.	CIVILIZATION is the state of man.	0.265385
Zákony jeho prirodzenosti ho predurčujú k tomu, aby zdolával výšiny v závislosti od svojej predstavivosti.	Man of all creatures is destined by the laws of his very nature to scale the heights according to his capacities for vision.	0.267742
Celý život strávi hľadaním vzťahov s okolitým svetom.	His life is spent in seeking relations to the outside world.	0.274468
Život – bytie, prispôsobovanie sa, premena, je proces, v ktorom sa vnútorné sily človeka stretávajú s ťažko zvládnuteľnými silami vonkajšieho prostredia.	Living – being, adapting, becoming – is a process wherein man"s inherent forces meet effectively the challenging forces of the outside world.	0.404132
Pri snahe človeka dosiahnuť svoj cieľ sa zo života stáva sled konfliktov.	Living becomes a series of conflicts in man"s striving toward a goal.	0.279661
Nie sú to však konflikty len medzi človekom a jeho okolím, ale aj konflikty vo vnútri samotného človeka – medzi inštinktívnymi požiadavkami rozličných síl v jeho zložitej prirodzenosti.	But there is conflict not only between man and his world, but within man himself – between the instinctive demands of the various powers of his complex nature.	0.344802
O čo jednoduchší by bol život človeka, keby jeho vzťahy k svetu a sebe samému pripomínali vzťahy v rastlinnej a živočíšnej ríši! Tie sú totiž nemenné a zabezpečuje ich inštinktívna prirodzenosť daného organizmu.	How much simpler human life would be if man"s relations to his world and himself were like those in the plant or animal order, where relations are fixed and realized by an instinctive functioning of the creature"s nature!	0.379902
Riešenie ľudských problémov si však vyžaduje vyššie sily, a to najmä sebapoznanie.	But this solution of man"s problems calls for powers of a higher order, demanding knowledge of himself.	0.464103
Človek sa musí vidieť a vnímať ako živočích, človek, jednotlivec, umelec a ako člen spoločnosti.	He must understand and know himself as an animal, as a man, as an individual, as an artist, and as a member of society.	0.624398
Jeho prvotná prirodzenosť sa bude chápať ako lietadlo, ktoré riadia inštinktívne impulzy.	His primary nature will be understood as the plane where instinctive impulses operate.	0.284
Tieto impulzy sú silné sklony k činnosti, sú to pramene budúceho správania.	The impulses are powerful tendencies to action: they are the springs of future conduct.	0.484615
Sú to sily, ktoré musí človek trénovať, aby mohli slúžiť vôli a túžbam intelektu poháňaného ideálmi.	They are forces that need to be trained to serve the will and desires of an intellect impelled by ideals, so that man can bring all his powers to bear upon the life of his choice.	0.270657
Človek potom môže použiť všetky svoje sily, aby mohol žiť život podľa seba. ~~~ Základom duševnej a telesnej činnosti je nájsť vnútorný mier a dostatočne sa prispôsobiť životu okolo nás.	Finding peace within ourselves and bringing about an adequate adjustment to his life around us are the bases of all mental and physical activity.	-0.0414634
Celý život je proces riešenia problémov, ktoré si uvedomujeme.	All living is a process of solving problems as we become aware of them.	0.278182
Riešenie problémov je základom kreatívnej aktivity a je nevyhnutné vo všetkých oblastiach života, ako napr. práca, zábava a umenie.	Problem-solving is the basis of creative activity and is essential to all walks of life – work, play, and art.	0.228261
Akékoľvek umelecké dielo sa začína cieľom a rastie technikou.	Any work of art begins with a purpose and grows through technique.	0.588889
V tanci, tak ako v každom umení, je nevyhnutné trénovať myseľ tak, aby niečo používala ako nástroj, pomocou ktorého by nejaký prostriedok pretvárala do formy umenia.	In dance, as in every art, it is essential to train the mind to use some tool as an instrument with which to mold a medium into an art form.	0.222321
V tanci je nástrojom telo a prostriedkom pohyb.	In dance the body is employed as the instrument, and movement as the medium.	0.131707
Tanečník má preto na zreteli dva ciele.	Consequently, a dancer has two goals to keep in view.	0.202941
Po prvé musí trénovať myseľ, aby používala telo na vyjadrenie svojho stavu, keďže pri tanci ide najmä o kvality pocitov telesného pôvodu.	First, he must train the mind to use the body to reflect its conditions, for the primary concern of dance is the feeling tones of physical origin.	0.289744
Po druhé musí trénovať telo, aby reagovalo na vyjadrujúcu sa myseľ.	Second, he must train the body to be responsive to the expressive mind.	0.289655
Akékoľvek myšlienky a kvality pocitov, ktoré myseľ vyjadruje, musí telo precítiť.	Whatever thought and feeling tones are to be expresses must be felt through the body.	0.3
Preto nemožno prehliadať význam pocitov a emócií a ich schopnosť motivovať svalovú aktivitu.	Therefore the importance of feelings and emotions, and their power to motivate muscle activity, cannot be overlooked.	0.222222
Svaly sa sťahujú v pomere k intenzite emočného zážitku, ktorý chceme vyjadriť.	Muscles contract in proportion to the intensity of the emotional drive of the experience to be expressed.	0.202941
V nami zvolenom živote nás ženie dopredu vnútorná či hnacia sila. ~~~ Sídli v zložitom centre, ktoré vníma, premýšľa, zdôvodňuje, chápe, zapamätáva si, predstavuje si a vytvára. ~~~ Toto centrum sa nazýva myseľ.	This inner force, or motive power that drives us on in the life of our choosing, resides in that complex center which perceives, thinks, reasons, comprehends, remembers, imagines, and creates – the center we call mind.	-0.121854
V súčasnom vzdelávacom systéme sa jednotlivec považuje za rastúci a meniaci sa organizmus, ktorého myseľ sa čím ďalej tým viac stáva jeho najdominantnejšou črtou odlišujúcou ho od všetkých ostatných.	Contemporary education regards the individual as a growing, changing organism whose mind becomes increasingly his most distinctive and dominant characteristic.	0.3769
Slovo myseľ je abstraktný pojem.	The word mind is an abstract term.	0.3
Každá myseľ predstavuje jedinečné usporiadanie dojmov, intuícií a presvedčení, ktoré vyjadruje všetky zážitky.	Every mind is unique organization of impressions, intuitions, and beliefs which interprets all of experience.	0.290625
Reakcie jednej mysle budú odlišné od reakcií mysle, ktorá má inak usporiadané dojmy.	The reactions of one mind will be different from those of a mind that has differently organized impressions.	0.221918
Každý pocítený dojem sa uberá určitým smerom.	Every sensed impression takes its particular direction.	0.225
Buď ho zablokujú protidojmy, alebo sa zmieša s minulými dojmami a vytvorí určitý pocit alebo postoj.	Either it is arrested by counterimpressions, or it blends with past impressions and forms a definite feeling or attitude.	0.41368
Môžeme povedať, že sila mysle je stupeň sily stimulačných a regulačných procesov, ktoré nasledujú po vneme podnetu.	Power of mind may be said to be the degree of strength of the stimulative and regulative processes which follow upon the perception of a stimulus.	0.400667
Z toho dôvodu zážitky, ktoré človek dostatočne nevnímal, prispejú k prejavu menej, alebo k nemu neprispejú vôbec.	Therefore, experiences that have not been sufficiently perceived will contribute little or nothing toward expression.	0.281633
To, čo neurobí dojem, sa nemôže prejaviť.	What has not impresses cannot be expressed.	0.283333
