To som dnes robil v práci.	That’s what I did at work today.	0.231818
Keď som Jacka spoznal, ešte nebol Jackom.	When I met Jack he wasn’t Jack yet.	0.227586
Môj šéf je majster remeselník.	My boss, he’s the master craftsman.	0.255556
Biotvorca.	Bio- thaumaturge.	0.136364
On vytvoril hlinenú kožu, on spravil tú prácu.	It was him did the clayflesh, who went to work.	0.292308
To on vzal Jackovi pravú ruku.	It was him took off Jack’s right hand.	0.230769
Ale ja som bol ten, kto mu pri tom držal femur.	But it was me held the claw.	0.104348
Tú obrovskú, prerastenú modlivkovskú končatinu s chitínovými čepeľami dlhými ako moje predlaktie.	That great, outsized mantis limb, hinging chitin blades the length of my forearm.	0.227143
Držal som ju na Jackovom kýpti, kým môj šéf do seba zlieval kožu a štít.	I held it on Jack’s stump while my boss made the flesh and scute run together and alloy.	0.233898
To on pretvoril Jacka, ale ja som bol súčasťou toho celého a na to budem navždy hrdý.	It was him Remade Jack, but I was part of it, and that’ll always make me proud.	0.271875
Ako som dnes kráčal domov z práce mestom, ktoré mám tú česť chrániť, premýšľal som o menách.	I was thinking about names as I knocked off today, as I walked home through this cityit’s my honour to protect.	0.241558
Viem, že je veľa ľudí, ktorí nechápu, že niektoré veci sa proste musia spraviť a ak im meno Chrobák Jack robí radosť, ja ich za to nesúdim.	I know there are plenty who don’t understand what has to be done sometimes, and if the name of Jack Half-a-Prayer gives them pleasure, I don’t grudge them that.	0.464286
Jack, muž, ktorého som stvoril.	Jack, the man I made.	0.633333
Teraz mu patrí toto meno, nech sa predtým volal akokoľvek.	It’s his name, now, whatever he was called before.	0.251163
Ako som už povedal, v tom krátkom čase, čo som ho poznal, predtým aj potom, ako som ho stvoril, nikdy som ho neoslovil jeho menom a ani on mňa mojím.	Like I say, in the short time I knew him, before I made him and after, I never called Jack by his name nor he me.	0.192135
Nemohli sme, nie v tejto brandži.	We couldn’t, not in this line of work.	0.268966
Jacka som vždy oslovoval "väzeň", a keď mi odpovedal, oslovoval ma "pane".	Whenever I spoke to Jack, I called him "Prisoner, ” and answering, he called me "Sir.”	0.2625
Automat s kolou, automat so sladkosťami a fritéza už museli odísť.	They had to go. The Coke machine, the snack machine, the deep fryer.	0.3
Zdvihli sa, vliekli po chodbách a potom vyšli von k obrubníku. Spolu s ďalšími vecami, ktoré negatívne pôsobia na zdravie študentov, si sadli pod sivú, pochmúrnu oblohu za základnou školou Kirkpatrick, jednou z mála základných škôl mesta Clarksdale v štáte Mississippi.	Hoisted and dragged through the halls and out to the curb, they sat with other trash beneath gray, forlorn skies behind Kirkpatrick Elementary, one of a handful of primary schools in Clarksdale, Mississippi.	0.384425
Už pred siedmimi rokmi si riaditelia prvýkrát uvedomili vážnosť problému.	That was seven years ago, when administrators first recognized the magnitude of the problem.	0.230769
Clarksdale je známe mesto pri ústí rieky Mississippi. ~~~ Prinieslo rozkvet hudobného štýlu Delta blues a ponúklo výhľad na bavlníkové plantáže, stále krásne panské sídla vo viktoriánskom štýle a roviny, ktoré sa tiahnu ku rieke.	Clarksdale, a storied delta town that gave us the golden age of the Delta blues, its cotton fields and flatlands rolling to the river, its Victorian mansions still beautiful, is at the center of a colossal American health crisis.	0.120748
Clarksdale sa pasuje s mnohými zdravotnými problémami ako je cukrovka, vysoký krvný tlak, ochorenia srdca a vysoká miera obezity. ~~~ Niektorí odborníci si myslia, že ich spôsobil cukor.	High rates of obesity, diabetes, high blood pressure, heart disease: the legacy, some experts say, of sugar, a crop that brought the ancestors of most Clarksdale residents to this hemisphere in chains.	0.0709821
Na našu pologuľu túto plodinu postupne priniesli prevažne predkovia obyvateľov mesta Clarksdale.		-0.3
Vedeli sme, že musíme niečo urobiť, povedala SuzAnne Waltonová, riaditeľka základnej školy Kirkpatrick.	We knew we had to do something, Kirkpatrick principal SuzAnne Walton told me.	0.396104
Waltonová sa v meste Clarksdale narodila a vyrástla. ~~~ Previedla ma po budove školy a porozprávali sme sa o spôsoboch, akými sa učiteľský zbor snaží poradiť študentom so stravovaním.	Walton, Clarksdale born and bred, was leading me through the school, discussing ways the faculty is trying to help students—baked instead of fried, fruit instead of candy—most of whom have two meals a day in the lunchroom.	0.0416209
Väčšina z nich v jedálni konzumuje denne dve jedlá. ~~~ Namiesto vyprážaného jedla a sladkostí sa v školskej jedálni ponúka pečené jedlo a ovocie.	She was wearing scrubs—standard Monday dress for teachers, to reinforce the school’s commitment to health and wellness.	-0.0274038
Waltonová mala oblečený biely lekársky plášť, ktorý učitelia nosievajú v pondelok, aby zdôraznili, že škola bojuje za zdravie a zdravý životný štýl.		-0.3
Z celkového počtu študentov tvoria 91 % Afroameričania, 7 % belosi a zvyšné 2 % predstavujú traja Hispánci.	The student body is 91 percent African American, 7 percent white, and three Latinos—the remaining 2 percent.	2.46007
Tieto deti zjedia to, čo im dajú, a veľmi často ide o najsladšie a najlacnejšie jedlo: koláče, krémové dezerty v kelímku a cukríky.	These kids eat what they’re given, and too often it’s the sweetest, cheapest foods: cakes, creams, candy.	0.233333
To sa muselo zmeniť.	It had to change.	0.24
Išlo o zdravie študentov, vysvetlila Waltonová.	It was about the students, she explained.	0.241667
Napríklad Nicholas Scurlock začal nedávno chodiť do prvej triedy.	Take, for example, Nicholas Scurlock, who had recently begun his first year at Oakhurst Middle School.	0.444828
Nick bol dosť vysoký na to, aby už mohol jazdiť na horskej dráhe vo väčších zábavných parkoch.	Nick, just tall enough to ride the coaster at the bigger amusement parks, had been 135 pounds going into fifth grade.	0.227848
Keď išiel do piateho ročníka, vážil 61 kg.	He was terrified of gym, Principal Walton told me.	0.241667
Mal strach z telesnej výchovy, povedala riaditeľka Waltonová.	There was trouble running, trouble breathing—the kid had it all.	0.294545
Chlapec mal problémy s behom aj s dýchaním.		-0.3
Viem, že som tá posledná, ktorá by ho mala súdiť, dodala Waltonová a rozosmiala sa.	Of course, I’m not one to judge, Walton added, laughing, slapping her thighs.	0.281818
Veď aj ja mám väčšie rozmery.	I’m a big woman myself.	0.225
Raz, keď som stretla Nicka v jedálni, sedel vedľa svojej očarujúcej 38-ročnej matky Warkeyie Jonesovej.	I met Nick in the lunchroom, where he sat beside his mother, Warkeyie Jones, a striking 38-year-old.	0.469853
Priznala sa mi, že zmenila svoje stravovacie návyky, aby pomohla sebe a bola príkladom pre Nicka.	Jones told me she had changed her own eating habits to help herself and to serve as an example for Nick.	0.292771
Jedávala som sladkosti celý deň, pretože mám sedavé zamestnanie. ~~~ Čo iné som mala robiť?	I used to snack on sweets all day, ’cause I sit at a desk, and what else are you going to do?	-0.00821918
Ale prešla som na zeler, povedala.		-0.3
Ľudia mi hovoria: Robíš to kvôli priateľovi.	But I’ve switched to celery, she told me.	0.640714
A ja im vždy odpoviem: Nie, robím to, pretože chcem žiť a byť zdravá.	People say, ‘You’re doing it ’cause you’ve got a boyfriend.’	0.543881
Do šálky nalejete vodu, pridáte cukor až po okraj a necháte päť hodín odstáť.	And I say, ‘No, I’m doing it ’cause I want to live and be healthy. ’	0.238889
Keď sa vrátite, zbadáte na dne pohára usadené kryštáliky.	Take a cup of water, add sugar to the brim, let it sit for five hours.	0.264
Clarksdale je veľké mesto, ktoré sa nachádza v jednom z krajov s najvyššou mierou obezity, v štáte a zároveň priemyselne najrozvinutejšej krajine na svete, kde trpí obezitou najviac ľudí.		-0.3
Toto mesto sa považuje za tzv. dno amerického nápoja.	When you return, you’ll see that the crystals have settled on the bottom of the glass.	0.130435
Cukor, ktorý tento nápoj obsahuje, sa usádza v telách takých detí ako je Nick Scurlock. ~~~ Na postave chlapca zanechal sladený nápoj stopu.	Clarksdale, a big town in one of the fattest counties, in the fattest state, in the fattest industrialized nation in the world, is the bottom of the American drink, where the sugar settles in the bodies of kids like Nick Scurlock—the legacy of sweets in the shape of a boy.	-0.136017
Marcipánové mešity	Mosques of Marzipan	0.3
Pred asi 10 000 rokmi domestikovali cukrovú trstinu na ostrove Nová Guinea. ~~~ Ľudia ju najprv pozbierali a potom ju surovú jedli. ~~~ Stonku prežúvali až dovtedy, kým sa jej chuť nerozplynula na jazyku ako mäkký karamelový cukrík.	In the beginning, on the island of New Guinea, where sugarcane was domesticated some 10, 000 years ago, people picked cane and ate it raw, chewing a stem until the taste hit their tongue like a starburst.	-0.0767133
Už mýty zo starovekej Novej Guiney zobrazovali cukor ako istý všeliek, liek na každú chorobu aj náladu.	A kind of elixir, a cure for every ailment, an answer for every mood, sugar featured prominently in ancient New Guinean myths.	0.238636
Jeden z nich je o mužovi, ktorý sa miluje so stonkou cukrovej trstiny, čo bolo prínosom pre ľudstvo.	In one the first man makes love to a stalk of cane, yielding the human race.	0.193548
Počas náboženských obradov si kňazi uchlipkávali zo škrupiny kokosového orecha sladenú vodu. Neskôr tento nápoj vystriedali plechovky koly.	At religious ceremonies priests sipped sugar water from coconut shells, a beverage since replaced in sacred ceremonies with cans of Coke.	0.287288
Cukor sa pomaly šíril z ostrova na ostrov. ~~~ Nakoniec sa okolo roku 1 000 pred n. l. dostal na ázijskú pevninu.	Sugar spread slowly from island to island, finally reaching the Asian mainland around 1000 B. C.	-0.0182927
Od roku 500 n. l. sa začal v Indii spracovávať na prášok a využívať ako liek na bolesti hlavy, žalúdočné ťažkosti a impotenciu.	By A. D. 500 it was being processed into a powder in India and used as a medicine for headaches, stomach flutters, impotence.	1.91923
Po celé stáročia zostala rafinácia cukru utajeným umením, ktoré sa odovzdávalo z majstra na učňa.	For years sugar refinement remained a secret science, passed master to apprentice.	0.25
Do roku 600 n. l. sa toto umenie rozšírilo aj do Perzie, kde panovníci zaplavovali hostí sladkosťami.	By 600 the art had spread to Persia, where rulers entertained guests with a plethora of sweets.	2.11083
Keď arabské armády dobyli túto oblasť, odniesli si poznatky a lásku k cukru.	When Arab armies conquered the region, they carried away the knowledge and love of sugar.	0.249231
Bolo to, ako keď vo vzduchu poletujú púpavové nažky, čiže sem a tam. ~~~ Jednoducho povedané, cukor sa objavil všade, kde ľudia uctievali Alaha.	It was like throwing paint at a fan: first here, then there, sugar turning up wherever Allah was worshipped.	0.0176692
Kdekoľvek Arabi prišli, priniesli so sebou cukor ako výrobok a aj technológiu jeho výroby, uvádza Sidney Mintz v knihe Sladkosti a ich sila 1.	Wherever they went, the Arabs brought with them sugar, the product and the technology of its production, writes Sidney Mintz in Sweetness and Power.	0.525
Hovorí sa, že cukor išiel po stopách Koránu.	Sugar, we are told, followed the Koran.	0.264706
Moslimskí vládcovia urobili z cukru skvelé umenie.	Muslim caliphs made a great show of sugar.	0.225
Marcipán bol hitom. Mleté mandle s cukrom vytvarované do neobvyklých tvarov vypovedali o bohatstve štátu.	Marzipan was the rage, ground almonds and sugar sculpted into outlandish concoctions that demonstrated the wealth of the state.	0.241304
Jeden autor z 15. storočia opísal marcipánovú mešitu, ktorú si objednal kalif (moslimský vládca).	A 15th-century writer described an entire marzipan mosque commissioned by a caliph.	0.250685
Chudobní boli ňou unesení, obdivovali ju a modlili sa v nej.	Marveled at, prayed in, devoured by the poor.	0.207692
Arabi zdokonalili rafináciu cukru a urobili z nej priemysel.	The Arabs perfected sugar refinement and turned it into an industry.	0.266038
Bola to neskutočne ťažká práca.	The work was brutally difficult.	0.289286
Na poliach bola veľká horúčava, mihotajúce sa kosy, z kotolní sa dymilo a množstvo cukrovarov.	The heat of the fields, the flash of the scythes, the smoke of the boiling rooms, the crush of the mills.	0.281481
Keď od roku 1500 začal dopyt po cukre stúpať, práca na cukrových plantážach sa považovala za vhodnú len pre najspodnejšiu vrstvu robotníkov.	By 1500, with the demand for sugar surging, the work was considered suitable only for the lowest of laborers.	0.208696
Veľkú časť poľnohospodárskych pracovníkov tvorili vojnoví zajatci z východnej Európy, ktorých zajali počas bitiek medzi moslimami a kresťanmi.		-0.3
Britskí a francúzski križiaci boli pravdepodobne prvými Európanmi, ktorí sa do cukru zamilovali.	Many of the field hands were prisoners of war, eastern Europeans captured when Muslim and Christian armies clashed.	0.250588
Na Východ prišli, aby si od neveriacich vzali Svätú zem. ~~~ Domov sa vrátili plní vízií, príbehov a spomienok na cukor.	Perhaps the first Europeans to fall in love with sugar were British and French crusaders who went east to wrest the Holy Land from the infidel.	-0.0285
Cukrová trstina nie je vhodná na pestovanie v miernom podnebnom pásme.	They came home full of visions and stories and memories of sugar.	0.267273
Aby sa jej dobre darilo, potrebuje tropické podnebie a dažďom zmáčané polia. ~~~ Prvý európsky trh bol vybudovaný podľa moslimského trhu a cukor, ktorý sa dostal na Západ, konzumovala len šľachta. ~~~ Málokedy sa zaraďoval medzi korenie.	As cane is not at its most productive in temperate climes—it needs tropical, rain-drenched fields to flourish—the first European market was built on a trickle of Muslim trade, and the sugar that reached the West was consumed only by the nobility, so rare it was classified as a spice.	-0.0901395
Ale keď sa okolo roku 1400 rozširovala Osmanská ríša, obchodovanie s Východom začínalo byť zložitejšie.	But with the spread of the Ottoman Empire in the 1400s, trade with the East became more difficult.	0.270732
Západné mocnosti, ktoré podľahli kúzlu cukru, mali na výber niekoľko možností: vysporiadať sa s malými juhoeurópskymi výrobcami cukru, poraziť Turkov, alebo získať nové zdroje cukru.	To the Western elite who had fallen under sugar’s spell there were few options: deal with the small southern European sugar manufacturers, defeat the Turk, or develop new sources of sugar.	0.3
Hľadaniu území a ostrovov, ktoré by otvorilo Európanom cestu do celého sveta, sa v školách hovorí obdobie zámorských objavov.	In school they call it the age of exploration, the search for territories and islands that would send Europeans all around the world.	0.288889
V skutočnosti išlo vo veľkej miere o lov na polia, kde by sa cukrovej trstine mohlo dobre dariť.	In reality it was, to no small degree, a hunt for fields where sugarcane would prosper.	0.271233
V roku 1425 portugalský princ, známy ako Henrich Moreplavec, poslal prvú skupinu kolonistov s cukrovou trstinu na Madeiru.	In 1425 the Portuguese prince known as Henry the Navigator sent sugarcane to Madeira with an early group of colonists.	2.01884
Onedlho si plodina našla cestu na ďalšie novoobjavené ostrovy v Atlantickom oceáne – Kapverdy a Kanárske ostrovy.		-0.3
Keď sa v roku 1493 Kolumbus vydal na svoju druhú plavbu do Nového sveta, prepravoval aj cukrovú trstinu.	The crop soon made its way to other newly discovered Atlantic islands—the Cape Verde Islands, the Canaries.	0.286364
Tým sa na Karibských ostrovoch začala éra cukru, veľkých plantáží cukrovej trstiny s otrokmi.		-0.3
V dôsledku toho začali po čase na predmestiach zo skla a ocele vznikať veľké dymiace rafinérie.	In 1493, when Columbus set off on his second voyage to the New World, he too carried cane.	0.271622
Došlo k masovej spotrebe cukru a nárastu počtu obéznych detí a rodičov. ~~~ A objavili sa muži v XXL teplákových súpravách, ktorí sa ťažkopádne pohybovali na elektrických vozíkoch.	Thus dawned the age of big sugar, of Caribbean islands and slave plantations, leading, in time, to great smoky refineries on the outskirts of glass cities, to mass consumption, fat kids, obese parents, and men in XXL tracksuits trundling along in electric carts.	-0.0666667
Otroci cukru Kolumbus zasadil prvú cukrovú trstinu Nového sveta na ostrove Haiti, na mieste, kde sa o niekoľko stoviek rokov, nie náhodou, konalo veľké povstanie otrokov.	Slaves to Sugar Columbus planted the New World’s first sugarcane in Hispaniola, the site, not coincidentally, of the great slave revolt a few hundred years later.	0.282609
Niekoľko desaťročí lemovali pahorkatiny Jamajky a Kuby len mlyny, pretože dažďový prales bol vyrúbaný a domorodé obyvateľstvo sužovala choroba, vojna, alebo bolo zotročené.	Within decades mills marked the heights in Jamaica and Cuba, where rain forest had been cleared and the native population eliminated by disease or war, or enslaved.	0.274101
Najúčinnejší model výroby cukru vytvorili Portugalci. ~~~ Z Brazílie si vybudovali prvú prosperujúcu kolóniu, v ktorej viac ako 100 000 otrokov vo veľkom produkovalo tony cukru.	The Portuguese created the most effective model, making Brazil into an early boom colony, with more than 100, 000 slaves churning out tons of sugar.	0.0411765
Čím viac cukrovej trstiny sa vypestovalo, tým viac klesala cena výrobku.	As more cane was planted, the price of the product fell.	0.197872
Od roku 1500 sa so znižovaním ceny začal zvyšovať dopyt.	As the price fell, demand increased.	0.15
Ekonómovia to nazývajú začarovaný kruh – nie je to fráza, ktorú by ste použili, ak by ste sa ocitli na zlej strane rovnice.	Economists call it a virtuous cycle—not a phrase you would use if you happened to be on the wrong side of the equation.	0.412755
