Jedného dňa, asi o 5 miliónov rokov neskôr, v tomto Raji fúkal studený vietor.	One day, perhaps five million years later, a cold wind blew through this Eden.	0.3
Hladina morí klesla a výška snehovej pokrývky stúpla.	The seas receded, the ice caps expanded.	0.197143
Pri periodickom poklese morskej hladiny sa v podobe výbežku zeme vynoril most, po ktorom išlo pár odvážnych ľudoopov z Afriky.	A spit of land emerged from the tides, a bridge that a few adventurous apes followed out of Africa.	0.204878
Nomádi sa usadili v dažďových pralesoch, ktoré pokrývajú Euroáziu.	Nomads, wanderers, they settled in the rain forests that blanketed Eurasia.	0.264407
Ale ochladzovanie pokračovalo a tropické dažďové pralesy s ovocím nahradili listnaté lesy. ~~~ Lístie stromov sa na jeseň sfarbilo dočervena a potom opadlo.	But the cooling continued, replacing tropical groves of fruit with deciduous forests, where the leaves flame in autumn, then die.	-0.0310811
Nasledovalo obdobie hladomoru.	A time of famine followed.	0.221739
Lesy zaplnili hladujúce ľudoopy.	The woods filled with starving apes.	0.28
V určitom okamihu došlo u jedného z nich k mutácii, vysvetlil Johnson.		-0.3
Mutácia spôsobila, že sa z ľudoopa stal veľmi účinný výrobca fruktózy.	At some point a mutation occurred in one of those apes, Johnson explained.	0.290164
V jeho tele sa v podobe tuku ukladali dokonca aj malé množstvá fruktózy.	It made that ape a wildly efficient processor of fructose.	0.234
Bola to obrovská výhoda počas mesiacov, keď v krajine zavládol chlad a jedla bolo nedostatok.	Even small amounts were stored as fat, a huge survival advantage in months when winter lay upon the land and food was scarce.	0.3975
Ľudoop so zmutovaným génom a zdravou túžbou po vzácnom a drahom ovocnom cukre sa jedného dňa vrátil do svojho domova v Afrike. ~~~ Tam splodil ľudoopov, ktorých vidíme v dnešnej dobe, vrátane toho, ktorý po celom svete rozšíril potomstvo, ktoré miluje cukor.	Then one day that ape, with its mutant gene and healthy craving for rare, precious fruit sugar, returned to its home in Africa and begot the apes we see today, including the one that has spread its sugar-loving progeny across the globe.	-0.0160714
Mutácia bola takým silným faktorom na prežitie, že prežilo iba niekoľko zvierat. ~~~ V súčasnosti majú túto mutáciu všetky ľudoopy, vrátane ľudí.	The mutation was such a powerful survival factor that only animals that had it survived, Johnson said, so today all apes have that mutation, including humans.	-0.0120968
Našim predkom pomohla počas neúrodných rokov.	It got our ancestors through the lean years.	0.276316
Ale keď sa cukor dostal na Západ vo veľkom štýle, nastal rozsiahly problém.	But when sugar hit the West in a big way, we had a big problem.	0.216
Svet zaplavila fruktóza, ale ľudské telá boli vyvinuté tak, aby ju prijali len vo veľmi malom množstve.	Our world is flooded with fructose, but our bodies have evolved to get by on very, very little of it.	0.281928
Je to úžasná irónia: Práve tá vec, ktorá nás zachránila, nás nakoniec môže zabiť.	It’s a great irony: The very thing that saved us could kill us in the end.	0.255
Zdravý šéfkuchár	The Healthy Chef	0.28
Hoci má Nick Scurlock len 11 rokov, výborne reprezentuje priemerného Američana v cukrovej dobe.	Though just 11, Nick Scurlock is a perfect stand-in for the average American in the age of sugar.	0.692593
Reklamný pracovník a predavač cukríkov sú nadmieru výkonní v premene fruktózy na tuk. ~~~ Nickovi ju pumpujú do žily vo veľmi nízkych hodnotách.	Hyperefficient at turning to fat the fructose the adman and candy clerk pump into his liver at a low, low price.	0.0686293
Nick navštevuje piatu triedu, váži 61 kg a miluje sladký jed, ktorý ohrozuje jeho život.	One hundred thirty-five pounds in fifth grade, in love with the sweet poison endangering his life.	0.264
Keď sedel v jedálni, usmial sa a opýtal sa: Prečo také dobré veci škodia nášmu zdraviu?	Sitting in the lunchroom, he smiled and asked, Why are the good things so bad for you?	0.291549
Ale tento príbeh hovorí viac o sile ako o pokušení.	But this story is less about temptation than about power.	0.25814
V najlepšom prípade môže škola pomôcť deťom robiť lepšie rozhodnutia.	At its best, the school can help kids make better decisions.	0.241176
Pred niekoľkými rokmi sa v jedálni školy Kirkpatrick podávala pizza a obdĺžnikové sladké pečivo značky Pop-Tarts.	A few years ago Pop-Tarts and pizza were served at Kirkpatrick.	0.3
Teraz sa jedálny lístok zlepšil.	Now, across the district, menus have improved.	0.175862
Škola má aj záhradu, v ktorej sa pestujú plodiny pre miestnych obyvateľov, bežeckú dráhu pre študentov a verejnosť a nové ihrisko.	The school has a garden that grows food for the community, a walking track for students and the public, and a new playground.	0.552535
V určitom zmysle je boj v meste Clarksdale len ďalším začiatkom pokračujúceho konfliktu medzi cukrovými magnátmi a rezačmi cukrovej trstiny.	In a sense the struggle in Clarksdale is just another front in the continuing battle between the sugar barons and the cane cutters.	0.552987
Táto tragédia zasahuje viac chudobných ako bohatých, povedal mi Johnson.	It’s a tragedy that hits the poor much harder than it does the rich, Johnson told me.	0.271875
Ak ste bohatí a chcete sa zabaviť, môžete ísť na dovolenku, cestovať na Havaj a hocičo si kúpiť.	If you’re wealthy and want to have fun, you go on vacation, travel to Hawaii, treat yourself to things.	0.2775
Ale ak ste chudobní a chcete oslavovať, môžete len zájsť do obchodu za rohom a kúpiť si zmrzlinovú tortu.	But if you’re poor and want to celebrate, you go down to the corner and buy an ice-cream cake.	0.257143
Keď som sa opýtal Nicka, čím by chcel byť, keď vyrastie, odpovedal mi: Šéfkuchárom.	When I asked Nick what he wanted to be when he grew up, he said, A chef.	0.226316
Potom chvíľku rozmýšľal, pozrel sa na svoju mamu a opravil sa.	Then he thought a moment, looked at his mom, and corrected himself.	0.527358
Šéfkuchárom, ktorý pripravuje zdravú stravu, dodal.	A healthy chef, he said.	-0.0714286
Bezprostredným zdrojom informácií o Juliane z Norwichu je jej kniha, v ktorej sa s nami delí o množstvo významných udalostí z jej života. ~~~ Opisuje v nej i svoje myšlienky a pocity spojené so zjaveniami.	A direct source of information about Julian of Norwich is her book where she shares a number of crucial events of her life, her own thoughts and feelings in so far as they are related to the revelations.	-0.00359281
Juliana hovorí, že ešte pred samotnými zjaveniami si vyprosovala tri milosti.	Before the revelations took place Julian informs us that she had asked for three graces.	0.269118
Prvou bolo zachovať pamiatku Kristovho utrpenia, druhou fyzická bolesť a treťou tri rany symbolizujúce skutočnú kajúcnosť, milujúci súcit a neutíchajúcu túžbu po Bohu.	The first was the grace to have recollection of Christ’s Passion; the second was a bodily sickness, and the third was to have three wounds: true contrition, loving compassion and longing with her will for God.	0.365411
Boh jej želanie napokon vyslyšal a ako tridsaťročná vážne ochorela. ~~~ Z viacerých hľadísk jej choroba pripomínala Kristovo utrpenie.	When she was a little over thirty, God heard her prayer and sent her a bodily sickness that was in some aspects parallel to Christ’s Passion.	-0.0012931
Jej zdravotný stav bol až natoľko vážny, že na pár dní bola celkom paralyzovaná.	Her sickness was so serious that it made her paralyzed for a couple of days.	0.27619
Juliana bola dokonca presvedčená o svojej blížiacej sa smrti, a tak nechala zavolať kňaza, aby vykonal sviatosť pomazania chorých.	She actually believed that she was at the point of death and so a priest was called to administer the sacraments to her.	0.407576
Okrem matky opisuje aj ďalších ľudí prítomných pri jej smrteľnej posteli. ~~~ Nakoniec sa však Juliana z ťažkej choroby dostala.	She describes her mother along with other persons present at her bedside, but eventually she recovered from the sickness.	-0.00721154
V čase choroby Juliana ešte nebola pustovníčka. ~~~ To potvrdzuje aj fakt, že pri jej smrteľnej posteli boli jej príbuzní. ~~~ V pustovníckej cele, v ktorej žila, by totiž nemohla mať okolo seba všetkých svojich blízkych.	This observation about the presence of relatives at her deathbed favours the argument that at the time of her illness Julian was not yet a recluse, because she could not have had all these people present in an anchorhold.	-0.129577
Z tohto dôvodu sa domnievame, že do samotárskeho života sa rozhodla utiahnuť krátko po zjaveniach.	Therefore, we can assume that she decided to retire only after the revelations took place.	0.268831
Keď si Juliana myslela, že zomrie, jej bolesť zrazu pominula a znovu sa cítila zdravá ako predtým, obzvlášť v hornej časti tela.	At the moment when Julian thought she was going to die, her pain suddenly left her and she felt as sound as before, particularly in the upper part of her body.	0.238889
Neskôr pochopila, že choroba ako aj jej zázračné uzdravenie, boli pre ňu akousi Božou prípravou na prijatie zjavení.	She later came to the understanding that both the sickness and the miraculous cure were God’s preparation for her to receive the revelations.	0.24
Tie nasledovali hneď po vízii trpiaceho Krista, ktorú jej pripomenula Veronikina šatka uchovaná v Ríme.	These followed immediately afterwards with the vision of the suffering Christ, which reminded her of Veronica’s veil kept in Rome.	0.226667
Následne sa vynára otázka - odkiaľ Juliana vedela o šatke.	Here a question arises as to how she knew of the veil.	0.259091
Je možné, že videla jej rytinu v manuskripte, ktoré ju opisovali. ~~~ Na druhej strane tiež nemôžeme vylúčiť možnosť, že bola jednou z pútnikov idúcich do Ríma, kde mohla osobne vidieť šatku uchovávanú v chráme sv. Petra.	It is possible that she saw its engraving in a manuscript, but it is not excluded that she had personally journeyed as a pilgrim to Rome where she had seen the veil kept in St. Peter’s.	-0.0269531
Keď uprene hľadela na kríž, zrazu sa pred jej očami objavil duchovný a v tom momente sa pred ňou premenil samotný Kristus.	All of a sudden, as she was gazing at the crucifix the priest had placed before her eyes, there came a change in Christ’s appearance.	0.406905
Plný radosti ju začal učiť prostredníctvom vízií a slov.	He seemed joyful and started to teach her through visions and locutions.	0.220408
Zjavenie lásky a jej prijatie opisuje v druhej kapitole dlhšej verzie diela. ~~~ Z parížskeho rukopisu spomínaného diela sa dozvedáme, že dátum zjavenia, hoci je diskutabilný, pripadá na 13. mája 1373.	In Chapter II of the Long Text she writes of having received her Revelation of loveon May 13, 1373, as we read in the Paris manuscript of the Long Text, though even this date is debatable.	-0.0165584
Sloan vo svojich rukopisoch zase píše, že k zjaveniam došlo už 8. mája, teda na tretiu nedeľu po Veľkej noci v roku 1373.	In the Sloan Manuscripts it is said that the revelations took place on the May 8, which was the third Sunday after Easter in 1373.	0.529
V tretej kapitole nám Juliana hovorí, že vtedy mala tridsať a pol roka, to znamená, že sa narodila v decembri 1342.	And in Chapter III she tells us she was then thirty and a half years old, which means she must have been born in December 1342.	0.550852
Neskôr, na konci 15. zjavenia dlhšieho vydania, sa Juliana rozpamätáva, že všetky jej zjavenia začali približne ráno o štvrtej. ~~~ Vrátane 15. zjavenia všetky trvali až do tretej hodiny poobede.	Later on, at the end of Revelation XV of the Long Text, Julian recollects that the Showings began early in the morning, about 4 o’clock and lasted through fifteen revelations until 3 o’clock in the afternoon.	-0.00722892
Až krátko predtým, ako začalo posledné zjavenie, navštívil Julianu duchovný. ~~~ Povedala mu o svojich pochybnostiach, že všetky jej vízie boli možno len halucinácie.	Before the final Revelation XVI started, she was visited by a religious whom she told about her doubts that the visions might have been a hallucination.	-0.0175781
V tú noc sa jej snívalo, že k nej prišiel diabol a snažil sa ju zadusiť. ~~~ Vtom sa však zobudila a nasledovalo 16. zjavenie.	In the night that followed she had a dream in which the devil tried to choke her, and after she woke up the sixteenth Revelation followed.	0.0705882
Posledná vízia začínala slovami plnými radosti a pokoja: Náš Pán mi odhalil tieto slová veľmi pokorne bez toho, aby vydal zo seba čo i len hlas, či pohol perami. ~~~ Podobne ako predtým len sladko povedal: Vedz, že to, čo si dnes videla, nebola žiadna halucinácia. ~~~ Prijmi to, ver tomu a pevne sa toho pridŕžaj. ~~~ Buď pokojná, dôveruj tomu a nič ťa nepremôže.	The final vision opens with words of comfort and reassurance: Our Lord very humbly revealed words to me, without voice and without opening of lips, just as he had done before, and said very sweetly: Know it well, it was no hallucination which you saw today, but accept and believe it and hold firmly to it, and comfort yourself with it and trust in it, and you will not be overcome.	-0.182192
Jeho posledné slová ma dokonale uistili v tom, že je to práve náš Pán Ježiš, kto mi to všetko zjavil. (DV 314)	These last words were said to me to teach me perfect certainty that it is our Lord Jesus who revealed everything to me (LT 314).	0.51087
V konečnom dôsledku aj v úvode kratšej verzie od neznámeho autora sa píše, že v roku 1413 Juliana stále žila ako pustovníčka v Norwichi.	Finally, in the introduction to the Short Text, written probably by an anonymous scribe, it is said that in 1413 Julian still lived the life of a recluse in Norwich.	1.55947
Okrem toho jej posledný odkaz z roku 1429, podobne ako aj Blomfieldov dátum z roku 1443, nám dokazujú, že Juliana žila dlho. ~~~ Jej vek odhadujeme na takmer 100 rokov.	Besides, the last bequest made to her in 1429 and Blomfield’s date of 1443 show that she may have lived a very long life of almost one hundred years.	-0.0209016
Všetky vyššie uvedené informácie o Julianinom živote sú spoľahlivé.	This is all the sure information we have about Julian’s life.	0.253846
Žiaľ, nevieme, kde sa presne narodila a nepoznáme ani históriu jej rodiny. Neexistujú dokonca žiadne dostupné informácie týkajúce sa času a miesta jej smrti či pohrebu.	We do not know where she was born, what the history of her family was, nor is there any information available about the time and place of her death and burial.	0.267692
Nikde sa nezmienila ani o temnejších stránkach jej života, ktoré ju obklopovali.	She does not even mention any of the sad events that were taking place around her.	0.291176
Všetko, čo sa netýkalo posolstva Božej lásky, držala v tajnosti.	She remains completely silent about everything that has no bearing on her message of God’s love.	0.160714
Ďalšie poznatky o jej živote sú zväčša len dedukciami historikov vyplývajúcich z dostupných zdrojov.	All the extrasthat have been told about her life by the historians are mostly deductions based on the sources we have at our disposal.	0.218182
V konečnom dôsledku nepoznáme ani jej pravé meno.	We do not even know her real name.	0.139286
Je možné, že meno Juliana prevzala od sv. Juliána - patróna kostola, ktorému sa zasvätila ako pustovníčka.	She possibly took her name Julian from St. Julian, the patron saint of the Church to which she was attached as an anchoress.	0.26044
Možno povedať, že dotyčný svätý bol známy aj ako Julián Špitálnik. ~~~ Svätý Julián je patrónom prievozníkov od čias, kedy kostol stojí v blízkosti rieky Winsum, kam sa ľudia pri prechode na druhú stranu prepravovali pomocou trajektu.	It is likely that the saint in question was Julian the Hospitaller, the patron saint of ferrymen, since the Church stands near the River Wensum and there must have been a ferry to get across the river.	-0.0278571
Odvtedy, čo sa objavil rukopis, v ktorom sa dozvedáme o víziách až príliš podobných tým Julianiným, sa J. B. Holloway domnieva, že Julianino skutočné meno bolo Mary Westwick.	J. B. Holloway makes a hypothesis that Julian’s real name might have been Mary Westwick, since there is a manuscript that speaks of her having visions that are similar to Julian’s.	0.707712
Norwich je známy aj vďaka oblasti Westwick nachádzajúcej sa neďaleko hradu, ktorý bol istý čas obývaný židovskými rodinami.	There was a Westwick area in Norwich, near the Castle, that had once been inhabited by Jewish families.	0.388929
Nemožno vylúčiť, že i Juliana patrila do jednej z týchto rodín. ~~~ V roku 1290, keď boli Židia vyhnaní z Anglicka, museli mnohé rodiny konvertovať na kresťanstvo.	It is possible that Julian may have stemmed from one of these families that converted to Christianity when Jews were expelled from England in 1290.	-0.0157258
Nedostatok informácií o živote lady Juliany nie je pre nás žiadnym prekvapením.	But this lack of information about Julian’s life is not surprising.	0.243103
Vybrala si život pustovníčky, a preto sa aj snažila ostať v úzadí. ~~~ Uvedomovala si, že posolstvo skryté v zjaveniach je dôležitejšie než ona sama.	She chose the life of a recluse and intended to remain hidden, being aware that it was the message of the revelations that was important and not her person.	-0.0048
