Závisí.	They do.	0.3
Vzrušenie, novinky, risk, spoločnosť rovesníkov.	Excitement, novelty, risk, the company of peers.	0.786047
Môže sa zdať, že z týchto čŕt nemôže vzísť nič iné ako vyčíňanie s priateľmi.	These traits may seem to add up to nothing more than doing foolish new stuff with friends.	0.248437
Pozrite sa však hlbšie a uvidíte, že črty charakterizujúce dospievanie robia jednotlivcov ale aj celý druh prispôsobivejšími.	Look deeper, however, and you see that these traits that define adolescence make us more adaptive, both as individuals and as a species.	0.45303
Antropológovia však zistili, že prakticky všetky kultúry sveta hovoria o dospievaní ako o zvláštnom období, počas ktorého adolescenti preferujú nové veci, vzrušenie a rovesníkov.	But anthropologists have found that virtually all the world's cultures recognize adolescence as a distinct period in which adolescents prefer novelty, excitement, and peers.	0.410066
Toto takmer univerzálne chápanie potláča mienku, že ide o dielo kultúry.	This near- universal recognition sinks the notion that it's a cultural construct.	0.261905
Kultúra jasne formuje dospievanie.	Culture clearly shapes adolescence.	0.290625
Ovplyvňuje jeho vyjadrenie a prípadne jeho dĺžku.	It influences its expression and possibly its length.	0.279545
Môže aj zosilniť jeho prejavy.	It can magnify its manifestations.	0.255556
Kultúra však dospievanie nevytvára.	Yet culture does not create adolescence.	0.272727
Jedinečnosť tohto obdobia vychádza z génov a vývojových procesov, ktoré boli vybraté pred viac než tisíckami generácií, pretože hrajú dôležitú úlohu počas tohto kľúčového prechodného obdobia, vytvárajúc bytosť optimálne pripravenú opustiť bezpečný domov a vybrať sa do neznámeho prostredia.	The period's uniqueness rises from genes and developmental processes that have been selected for over thousands of generations because they play an amplified role during this key transitional period: producing a creature optimally primed to leave a safe home and move into unfamiliar territory.	0.44881
Opustiť domov je tá najťažšia a rovnako aj najrozhodujúcejšia vec, ktorú ľudia robia. ~~~ A to nie len pre jednotlivcov, ale aj pre celý druh, ktorý ukázal jedinečnú schopnosť zvládať nové náročné prostredie.	The move outward from home is the most difficult thing that humans do, as well as the most critical—not just for individuals but for a species that has shown an unmatched ability to master challenging new environments.	0.0690341
Z pohľadu vedy môžu byť tínedžeri tŕňom v oku.	In scientific terms, teenagers can be a pain in the ass.	0.238462
Avšak je celkom možné, že sú aj tými najprispôsobivejšími ľudskými bytosťami.	But they are quite possibly the most fully, crucially adaptive human beings around.	0.282353
Je dosť možné, že bez nich by sa tak ľahko ľudstvo nerozšírilo po celom svete.	Without them, humanity might not have so readily spread across the globe.	0.290476
