Stále pripútaná vypila kávu z nakloneného hrnčeka.	Still handcuffed, she drank the coffee he tilted from the mug.	0.246667
Zabralo jej to asi minútu.	It only took a minute.	0.236842
Hrejivý, zvláštne znepokojujúci pocit sa jej rozlial po celom tele. Potom zaspala.	A warm, dark feeling spread over her and then she slept.	0.140426
Keď sa zobudila, stál v blikajúcom svetle a obliekal sa.	When she woke, he was standing in the fluorescent light, dressing.	0.24375
Stále bola pripútaná k posteli.	She was still handcuffed to the bed.	0.267857
Členok mala pripútaný o okraj postele ďalším párom pút.	One of her ankles, too, was bound to the foot of the bed with another pair of handcuffs.	0.15
Pokračoval v obliekaní a zapínal si gombíky na rifľovej košeli.	He continued dressing, clipping the studs of his denim shirt closed.	0.278182
Musím bežať do práce, povedal, zaväzujúc si šnúrky na topánkach.	I have to go to work, he said, tying his bootlaces.	0.2
Nedá sa nič robiť.	It can’t be helped.	0.28125
Vyšiel z miestnosti a vrátil sa s lavórom.	He went out, came back in with a basin.	0.595833
Keby si ho potrebovala, povedal a položil ho na posteľ.	In case you need it, he said, leaving it on the bed.	0.264286
Zababušil ju do perín, letmo ju pobozkal a zhasol svetlá.	He tucked her in and kissed her then, a quick, normal kiss, and turned the light out.	0.444156
V chodbe sa zastavil a obrátil sa k nej.	He stopped in the hall and turned to face her.	0.254545
Jeho tieň sa týčil nad posteľou.	His shadow loomed over the bed.	0.288889
A on akoby nič, len jej ukázal prázdne dlane.	He held his hands out, showing his palms.	0.274286
Nie je to tak, ako si myslíš, prehovoril.	It’s not what you think, he said.	0.225
Naozaj nie.	It really isn’t.	0.190909
Vieš, milujem ťa.	I love you, you see.	0.28125
Pokús sa ma pochopiť.	Try to understand.	0.264706
Potom sa otočil k dverám a odišiel.	And then he turned and left.	0.225
Počúvala, ako odchádza, zapína si zips na bunde a schádza dolu schodmi.	She listened to him leave, heard him on the stairs, a zipper closing.	0.515252
V chodbe zhaslo svetlo, zabuchli sa dvere a počula, ako kráča po chodníku. Kroky postupne utíchli.	The hall light was doused, the door banged, she heard his walk on the pavement, footsteps ebbing.	0.292683
Zúfalo sa snažila dostať z pút.	Frantic, she tried her best to undo the handcuffs.	0.122222
Robila, čo sa len dalo, aby sa oslobodila.	She did everything to get free.	0.2
Je predsa silná žena!	She was a strong woman.	0.284211
Snažila sa oddeliť záhlavie postele, ale keď skopla periny dolu, zbadala, že je pripevnené k rámu postele.	She tried to disconnect the headboard, but when she nudged the sheet back, she could see the bed-head, bolted to the frame.	0.26044
Dlho hrmotala s posteľou.	For a long time she rattled the bed.	0.208696
Chcela zakričať Horí!, ako to polícia radí ženám v nebezpečenstve, ale pre zapchaté ústa nemohla rozprávať.	She wanted to yell fire!– that’s what police told women to yell in emergencies – but she couldn’t chew through the cloth.	0.450664
Podarilo sa jej uvoľniť jednu nohu a dotkla sa ňou koberca.	She managed to get her loose foot on the floor and thumped the carpet.	0.252
Vtedy si spomenula, že dole pod ňou býva hluchá babička.	Then she remembered granny, deaf, downstairs.	0.24878
